artist_id,artist_name,artist_popularity,artist_followers
4OVbrPbhvK46A1uXTU1u5F,Lay Bankz,60,94573
4OVbrPbhvK46A1uXTU1u5F,Lay Bankz,60,94573
4OVbrPbhvK46A1uXTU1u5F,Lay Bankz,60,94573
2WdQEgolM3ReWDLVbULP0U,Philly Goats,46,19903
4OVbrPbhvK46A1uXTU1u5F,Lay Bankz,60,94573
2WdQEgolM3ReWDLVbULP0U,Philly Goats,46,19903
4OVbrPbhvK46A1uXTU1u5F,Lay Bankz,60,94573
0QOP5VL6UOJIz4GlbWL3rk,DJ Taj,37,33088
18ca9d5EU5R1AhVKPR1cm0,Eartheater,50,137446
6ffRXY5wKedZhPTMa6WGys,keltiey,42,32115
2WdQEgolM3ReWDLVbULP0U,Philly Goats,46,19903
0t9dGS12PMZmiJiZa9vpyk,DJ Sliink,40,17455
2WdQEgolM3ReWDLVbULP0U,Philly Goats,46,19903
4OVbrPbhvK46A1uXTU1u5F,Lay Bankz,60,94573
7fc1beONoGaY0613kvQKWe,ProdByAbnormal,57,31223
0Ai6AfyHUiBw0uQKESpXF2,Brock,36,9579
2R0CFyeMDiRbfkhkIMbyl1,Cash Cobain,42,12182
5fpOmsbbaKJNE4hqbPzMhT,Fazobeats,40,6420
0t9dGS12PMZmiJiZa9vpyk,DJ Sliink,40,17455
4OVbrPbhvK46A1uXTU1u5F,Lay Bankz,60,94573
2tS5WTABMMEQNtdzyoWdHG,D4M $loan,39,25175
2tS5WTABMMEQNtdzyoWdHG,D4M $loan,39,25175
2WdQEgolM3ReWDLVbULP0U,Philly Goats,46,19903
4OVbrPbhvK46A1uXTU1u5F,Lay Bankz,60,94573
3eVlsZt6glT96Q404XnLsa,DarillisBeats,45,2318
7fc1beONoGaY0613kvQKWe,ProdByAbnormal,57,31223
2WdQEgolM3ReWDLVbULP0U,Philly Goats,46,19903
43eSnxk6MsmXsLOlbYo8VQ,Sweet William,43,51685
2WdQEgolM3ReWDLVbULP0U,Philly Goats,46,19903
7fc1beONoGaY0613kvQKWe,ProdByAbnormal,57,31223
18ca9d5EU5R1AhVKPR1cm0,Eartheater,50,137446
7fc1beONoGaY0613kvQKWe,ProdByAbnormal,57,31223
2WdQEgolM3ReWDLVbULP0U,Philly Goats,46,19903
2WdQEgolM3ReWDLVbULP0U,Philly Goats,46,19903
75BN2bMrpeLl89blBiaFuv,Evian Christ,33,15098
2WdQEgolM3ReWDLVbULP0U,Philly Goats,46,19903
7fc1beONoGaY0613kvQKWe,ProdByAbnormal,57,31223
5fpOmsbbaKJNE4hqbPzMhT,Fazobeats,40,6420
2WdQEgolM3ReWDLVbULP0U,Philly Goats,46,19903
0oad1RRAiN1UpaOWbIB0EW,Saint Punk,39,22759
09C3CKFxKEw1n1Z7kvT3jb,Deathpact,45,56638
7E69M6L0stZyhtvGzz2nH3,MikeOnaBeat,34,2362
18ca9d5EU5R1AhVKPR1cm0,Eartheater,50,137446
4qdYVEtGOxMUgkrxSdtqhu,benihxnx,32,10468
2R0CFyeMDiRbfkhkIMbyl1,Cash Cobain,42,12182
15ouNMI0IA7d45Tez6JbRw,CASHEW,38,9262
4YKJN54BF6iP4IEPvAUU2n,Bril,40,15086
18ca9d5EU5R1AhVKPR1cm0,Eartheater,50,137446
6694OnEnGJ9QPSS9q7Bu33,Heronwater,52,65229
1ldNdtZX38LAsOk0ciLvb2,F.O.O.L,46,77914
6d88nPjQLpyxi8vH3wgkrx,dj Shawny,52,35404
6ffRXY5wKedZhPTMa6WGys,keltiey,42,32115
0odYAXdxaNJS1PUEVp8aME,Beatdemons,35,1853
21RqZZ6M9rSIllZputElHU,TraadeMark,39,1921
6d88nPjQLpyxi8vH3wgkrx,dj Shawny,52,35404
2tS5WTABMMEQNtdzyoWdHG,D4M $loan,39,25175
0FTGkFA0UcAfMR9f7p1djv,Kanii Archive,50,25274
7zjVVZjY5P6hvIg0gOYc8N,KilSoSouth,35,4903
09C3CKFxKEw1n1Z7kvT3jb,Deathpact,45,56638
4YKJN54BF6iP4IEPvAUU2n,Bril,40,15086
2tS5WTABMMEQNtdzyoWdHG,D4M $loan,39,25175
5xmw3tD4MbvhA1ay1U0HEC,COUCOU CHLOE,42,78231
6zyJypV5M6PEhYS6SJWFq6,SteezTheProducer,30,1285
0Ai6AfyHUiBw0uQKESpXF2,Brock,36,9579
0FTGkFA0UcAfMR9f7p1djv,Kanii Archive,50,25274
1IgVVWaJUmYNxAWpN1nmnr,D STURDY,34,8948
4OVbrPbhvK46A1uXTU1u5F,Lay Bankz,60,94573
0Ai6AfyHUiBw0uQKESpXF2,Brock,36,9579
18ca9d5EU5R1AhVKPR1cm0,Eartheater,50,137446
6d88nPjQLpyxi8vH3wgkrx,dj Shawny,52,35404
4JWZwoacJTvnATTK9BUE34,Jay Dunham,39,4940
4qdYVEtGOxMUgkrxSdtqhu,benihxnx,32,10468
