artist_id,artist_name,track_id,track_name,release_date,track_popularity,album_image
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,4xhsWYTOGcal8zt0J161CU,Lovin On Me,2023-11-10,96,https://i.scdn.co/image/ab67616d00001e02fcf4adae77baba5d0169e8e8
3TVXtAsR1Inumwj472S9r4,Drake,2YSzYUF3jWqb9YP9VXmpjE,IDGAF (feat. Yeat),2023-10-06,93,https://i.scdn.co/image/ab67616d00001e027d384516b23347e92a587ed1
3TVXtAsR1Inumwj472S9r4,Drake,7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),2023-10-06,91,https://i.scdn.co/image/ab67616d00001e027d384516b23347e92a587ed1
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,4rXLjWdF2ZZpXCVTfWcshS,fukumean,2023-06-16,93,https://i.scdn.co/image/ab67616d00001e02017d5e26552345c4b1575b6c
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,2023-07-28,91,https://i.scdn.co/image/ab67616d00001e02881d8d8378cd01099babcd44
3TVXtAsR1Inumwj472S9r4,Drake,1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),2023-10-06,88,https://i.scdn.co/image/ab67616d00001e027d384516b23347e92a587ed1
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,67nepsnrcZkowTxMWigSbb,MELTDOWN (feat. Drake),2023-07-28,88,https://i.scdn.co/image/ab67616d00001e02881d8d8378cd01099babcd44
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,1i9lZvlaDdWDPyXEE95aiq,TELEKINESIS (feat. SZA & Future),2023-07-28,87,https://i.scdn.co/image/ab67616d00001e02881d8d8378cd01099babcd44
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),2023-07-28,89,https://i.scdn.co/image/ab67616d00001e02881d8d8378cd01099babcd44
3TVXtAsR1Inumwj472S9r4,Drake,3eP13S8D5m2cweMEg3ZDed,Virginia Beach,2023-10-06,85,https://i.scdn.co/image/ab67616d00001e027d384516b23347e92a587ed1
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],2023-06-23,88,https://i.scdn.co/image/ab67616d00001e027e8f938c02fac3b564931116
3TVXtAsR1Inumwj472S9r4,Drake,5Se32hEA9raeboZerywxka,You Broke My Heart,2023-11-17,84,https://i.scdn.co/image/ab67616d00001e02e286ee36b4015afa8832356a
3TVXtAsR1Inumwj472S9r4,Drake,7aRCf5cLOFN1U7kvtChY1G,Search & Rescue,2023-04-07,83,https://i.scdn.co/image/ab67616d00001e02cace8a4b2ff924c9e12e3a96
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,2Gk6fi0dqt91NKvlzGsmm7,SAY MY GRACE (feat. Travis Scott),2023-10-13,84,https://i.scdn.co/image/ab67616d00001e028473cdc72d9c6f9a2787e070
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,4kjI1gwQZRKNDkw1nI475M,MY EYES,2023-07-28,87,https://i.scdn.co/image/ab67616d00001e02881d8d8378cd01099babcd44
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,0FA4wrjDJvJTTU8AepZTup,Watch This - ARIZONATEARS Pluggnb Remix,2023-02-05,85,https://i.scdn.co/image/ab67616d00001e021e28b92ccb915b5307a7eb02
6Ip8FS7vWT1uKkJSweANQK,Dave,2FDTHlrBguDzQkp7PVj16Q,Sprinter,2023-06-01,91,https://i.scdn.co/image/ab67616d00001e02e3a09a9ae3f1fa102c110e60
6qxpnaukVayrQn6ViNvu9I,BigXthaPlug,1nQaTUDJ7Rc4yOvZmg9Ozr,Mmhmm,2023-10-06,79,https://i.scdn.co/image/ab67616d00001e026f333e1c294f20a6cfd997d2
3TVXtAsR1Inumwj472S9r4,Drake,3RaCGXCiiMufRPoexXxGkV,Slime You Out (feat. SZA),2023-09-15,81,https://i.scdn.co/image/ab67616d00001e023b2df9103b8b1bad69ec4aa9
3TVXtAsR1Inumwj472S9r4,Drake,0AYt6NMyyLd0rLuvr0UkMH,Slime You Out (feat. SZA),2023-10-06,81,https://i.scdn.co/image/ab67616d00001e027d384516b23347e92a587ed1
3TVXtAsR1Inumwj472S9r4,Drake,6ZprqcYFC6D9eIZaCoqrSn,Gently (feat. Bad Bunny),2023-10-06,83,https://i.scdn.co/image/ab67616d00001e027d384516b23347e92a587ed1
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,0lodMO0qK83vfPiiD7FMEt,TOPIA TWINS (feat. Rob49 & 21 Savage),2023-07-28,82,https://i.scdn.co/image/ab67616d00001e02881d8d8378cd01099babcd44
3TVXtAsR1Inumwj472S9r4,Drake,4ZT0wGKwlJRjpMUuwZVy3p,Daylight,2023-10-06,80,https://i.scdn.co/image/ab67616d00001e027d384516b23347e92a587ed1
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,07on0OB2cdPt79IFsgdRUy,Need A Favor,2023-06-02,77,https://i.scdn.co/image/ab67616d00001e02026adcf853fad0af470a9fbb
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,0rKWJnmo6Q0ovoPOLoLm0t,TOO MUCH,2023-10-19,88,https://i.scdn.co/image/ab67616d00001e02389e41e5096b6112ce0e1008
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,3ZaEs1O8BG581qYPHpQ8d6,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),2023-08-18,81,https://i.scdn.co/image/ab67616d00001e022bb4bbf62bc82d2f4ce59397
3TVXtAsR1Inumwj472S9r4,Drake,0w3Mfe4PIVjuFjJbe3OlYv,8am in Charlotte,2023-10-06,80,https://i.scdn.co/image/ab67616d00001e027d384516b23347e92a587ed1
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,4daEMLSZCgZ2Mt7gNm2SRa,Flooded The Face,2023-06-30,79,https://i.scdn.co/image/ab67616d00001e02a0e7694a73abed7372474d69
3TVXtAsR1Inumwj472S9r4,Drake,2ut4BOQSqxLpcX5MtPjzYa,Evil Ways (feat. J. Cole),2023-11-17,79,https://i.scdn.co/image/ab67616d00001e02e286ee36b4015afa8832356a
3TVXtAsR1Inumwj472S9r4,Drake,2nibvvDdAQkVraYP00z2RS,Calling For You (feat. 21 Savage),2023-10-06,79,https://i.scdn.co/image/ab67616d00001e027d384516b23347e92a587ed1
716NhGYqD1jl2wI1Qkgq36,Bizarrap,5AqiaZwhmC6dIbgWrD5SzV,"Peso Pluma: Bzrp Music Sessions, Vol. 55",2023-06-01,85,https://i.scdn.co/image/ab67616d00001e0215583045b2fdb7d7bab10e81
1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,7rzNKooM3JrKVT40fR22HI,Not Even Ghosts Are This Empty,2023-08-11,79,https://i.scdn.co/image/ab67616d00001e029ae2d5f3220065aaf33ad145
3TVXtAsR1Inumwj472S9r4,Drake,1DAibqbopEYULPEtE8WHTE,What Would Pluto Do,2023-10-06,78,https://i.scdn.co/image/ab67616d00001e027d384516b23347e92a587ed1
3TVXtAsR1Inumwj472S9r4,Drake,17IBDpAl3J39swaoPlfGpp,Another Late Night (feat. Lil Yachty),2023-10-06,78,https://i.scdn.co/image/ab67616d00001e027d384516b23347e92a587ed1
3hcs9uc56yIGFCSy9leWe7,Lil Durk,6HgWWaMu31KdOpEG5l28BG,All My Life (feat. J. Cole),2023-05-12,81,https://i.scdn.co/image/ab67616d00001e027c173b0dc64913d4635e3594
3TVXtAsR1Inumwj472S9r4,Drake,53KaP77tkliz36LPxWGlWK,Fear Of Heights,2023-10-06,78,https://i.scdn.co/image/ab67616d00001e027d384516b23347e92a587ed1
1TtXnWcUs0FCkaZDPGYHdf,Darell,3cDyocF0Ibdfs1SFQk5cLZ,Lollipop,2023-07-28,92,https://i.scdn.co/image/ab67616d00001e02992b4a535535ec4d0f109021
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,30LZU3ReFIndjHLfaahreM,Save Me (with Lainey Wilson),2023-06-02,75,https://i.scdn.co/image/ab67616d00001e02026adcf853fad0af470a9fbb
3hcs9uc56yIGFCSy9leWe7,Lil Durk,1fXnu2HzxbDtoyvFPWG3Bw,Stand By Me (feat. Morgan Wallen),2023-05-26,78,https://i.scdn.co/image/ab67616d00001e026234c2c6d4bb935839ac4719
50co4Is1HCEo8bhOyUWKpn,Young Thug,7qLr3HMApUbyDkUvgIvHnB,Oh U Went (feat. Drake),2023-06-23,78,https://i.scdn.co/image/ab67616d00001e0237895eee206eabf2682e3064
3TVXtAsR1Inumwj472S9r4,Drake,3JZjcKImHcmOI9ylL4zrSc,Bahamas Promises,2023-10-06,78,https://i.scdn.co/image/ab67616d00001e027d384516b23347e92a587ed1
3TVXtAsR1Inumwj472S9r4,Drake,24FUBxaAYSBlWsbSnEzDcn,Members Only (feat. PARTYNEXTDOOR),2023-10-06,78,https://i.scdn.co/image/ab67616d00001e027d384516b23347e92a587ed1
3TVXtAsR1Inumwj472S9r4,Drake,1GpWY5RiInhezB8wGWs6oN,7969 Santa,2023-10-06,77,https://i.scdn.co/image/ab67616d00001e027d384516b23347e92a587ed1
