artist_id,artist_name,artist_popularity,artist_followers
78YqeIji3mgAS2K1Maca6x,Dylan Scott,67,1533910
5lpH0xAS4fVfLkACg9DAuM,Wham!,76,2550599
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,83,26748949
6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,70,4680385
2FXC3k01G6Gw61bmprjgqS,Hozier,81,6217713
4sIl4BTo9l9KqEi0Y3RE72,Carly Pearce,61,368507
2QMsj4XJ7ne2hojxt6v5eb,Riley Green,67,635817
6wxfx1yhyqjCPYwwxJktR2,King Gnu,72,3083866
1p6CdzJRoicjRcSdWoB9Qc,Mitchell Tenpenny,63,479381
0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,73,8611299
2FXC3k01G6Gw61bmprjgqS,Hozier,81,6217713
2FXC3k01G6Gw61bmprjgqS,Hozier,81,6217713
1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,76,5230547
2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,67,2317122
1nYvElumwIjMkOczb985bq,Charlie Worsham,49,32772
3FfvYsEGaIb52QPXhg4DcH,Jason Aldean,71,6421046
2FXC3k01G6Gw61bmprjgqS,Hozier,81,6217713
6y8XlgIV8BLlIg1tT1R10i,Old Dominion,66,1446781
6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,74,1434385
34bhyY8jfKez7uKakMfy4y,Maddie & Tae,60,1130407
2FXC3k01G6Gw61bmprjgqS,Hozier,81,6217713
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,77,10441248
0qpMYTgbXRi1ZcX6vend3T,Jack Black,53,114695
6y8XlgIV8BLlIg1tT1R10i,Old Dominion,66,1446781
1LZEQNv7sE11VDY3SdxQeN,Bee Gees,74,7406328
6FBDaR13swtiWwGhX1WQsP,blink-182,78,7970497
6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,74,1434385
6FBDaR13swtiWwGhX1WQsP,blink-182,78,7970497
6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,74,1434385
2FXC3k01G6Gw61bmprjgqS,Hozier,81,6217713
2cCUtGK9sDU2EoElnk0GNB,The National,66,1574634
6FBDaR13swtiWwGhX1WQsP,blink-182,78,7970497
5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,62,658532
2FXC3k01G6Gw61bmprjgqS,Hozier,81,6217713
2FXC3k01G6Gw61bmprjgqS,Hozier,81,6217713
1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,76,5230547
40LHVA5BTQp9RxHOQ9JPYj,Lauren Daigle,68,2588830
0lAWpj5szCSwM4rUMHYmrr,Måneskin,79,8246896
2FXC3k01G6Gw61bmprjgqS,Hozier,81,6217713
3FfvYsEGaIb52QPXhg4DcH,Jason Aldean,71,6421046
6y8XlgIV8BLlIg1tT1R10i,Old Dominion,66,1446781
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,80,16607437
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,85,51501702
74XFHRwlV6OrjEM0A2NCMF,Paramore,76,8236680
30e8DmahrEamvLbFRPdWmk,Justin Moore,61,1836922
6FBDaR13swtiWwGhX1WQsP,blink-182,78,7970497
2QMsj4XJ7ne2hojxt6v5eb,Riley Green,67,635817
6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,74,1434385
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,77,10441248
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,80,16607437
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,80,16607437
4MoAOfV4ROWofLG3a3hhBN,Jon Pardi,71,1858385
1mfDfLsMxYcOOZkzBxvSVW,Cole Swindell,64,2223152
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,85,51501702
3mIj9lX2MWuHmhNCA7LSCW,The 1975,75,7015228
78YqeIji3mgAS2K1Maca6x,Dylan Scott,67,1533910
78YqeIji3mgAS2K1Maca6x,Dylan Scott,67,1533910
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,85,51501702
4MoAOfV4ROWofLG3a3hhBN,Jon Pardi,71,1858385
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,85,51501702
7sKxqpSqbIzphAKAhrqvlf,Walker Hayes,60,637946
2QMsj4XJ7ne2hojxt6v5eb,Riley Green,67,635817
1dID9zgn0OV0Y8ud7Mh2tS,Dustin Lynch,64,2326786
5lRB3MAJfKzlt7dgYMHWgY,Dylan Schneider,53,204691
1Qp56T7n950O3EGMsSl81D,Ghost,73,2859891
3FMcVBx2TMq2f5gEPcUieC,Josiah and the Bonnevilles,60,90709
0AuW7OCyKfFrsMbtHrYgIV,House Of Pain,57,618199
3mIj9lX2MWuHmhNCA7LSCW,The 1975,75,7015228
6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,70,4680385
5q8HGNo0BjLWaTAhRtbwxa,Brantley Gilbert,63,2984852
3FMcVBx2TMq2f5gEPcUieC,Josiah and the Bonnevilles,60,90709
1p6CdzJRoicjRcSdWoB9Qc,Mitchell Tenpenny,63,479381
3PhoLpVuITZKcymswpck5b,Elton John,81,12608817
3mIj9lX2MWuHmhNCA7LSCW,The 1975,75,7015228
1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,76,5230547
1dID9zgn0OV0Y8ud7Mh2tS,Dustin Lynch,64,2326786
1E2AEtxaFaJtH0lO7kgNKw,Russell Dickerson,60,468393
2xiIXseIJcq3nG7C8fHeBj,Three Days Grace,72,5922861
16GcWuvvybAoaHr0NqT8Eh,Alabama Shakes,57,1614090
6qO6LhD6FuXK5e2PtfAIMz,We Came As Romans,59,823427
16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,76,5312171
2TwOrUcYnAlIiKmVQkkoSZ,Wet Leg,57,594511
10exVja0key0uqUkk6LJRT,Vance Joy,73,2956588
5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,62,658532
1Qp56T7n950O3EGMsSl81D,Ghost,73,2859891
2FXC3k01G6Gw61bmprjgqS,Hozier,81,6217713
3mIj9lX2MWuHmhNCA7LSCW,The 1975,75,7015228
3mIj9lX2MWuHmhNCA7LSCW,The 1975,75,7015228
1Qp56T7n950O3EGMsSl81D,Ghost,73,2859891
4vGrte8FDu062Ntj0RsPiZ,Polyphia,62,1058134
1n2pb9Tsfe4SwAjmUac6YT,Jake Owen,62,1931184
4bLLB1dbsRVUTcMpnDGDO2,SunKissed Lola,61,601610
1mfDfLsMxYcOOZkzBxvSVW,Cole Swindell,64,2223152
2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,67,2317122
6eKWqnckwdIlSnjaYgIyxv,Eli Young Band,57,822008
5q8HGNo0BjLWaTAhRtbwxa,Brantley Gilbert,63,2984852
7mnBLXK823vNxN3UWB7Gfz,The Black Keys,69,3931049
1mfDfLsMxYcOOZkzBxvSVW,Cole Swindell,64,2223152
0rAp8I6gq67AJEmzWEJ1ri,Rachael Lampa,45,61972
78YqeIji3mgAS2K1Maca6x,Dylan Scott,67,1533910
3PhoLpVuITZKcymswpck5b,Elton John,81,12608817
3PhoLpVuITZKcymswpck5b,Elton John,81,12608817
0lAWpj5szCSwM4rUMHYmrr,Måneskin,79,8246896
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,80,16607437
4sIl4BTo9l9KqEi0Y3RE72,Carly Pearce,61,368507
2IvkS5MXK0vPGnwyJsrEyV,Eric Church,70,3870500
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,85,51501702
7x8nK0m0cP2ksQf0mjWdPS,Dierks Bentley,65,3090951
4NpFxQe2UvRCAjto3JqlSl,Greta Van Fleet,66,2486011
6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,70,4680385
3bhu7P5PfngueRHiB9hjcx,Elle King,61,588196
