artist_id,artist_name,artist_popularity,artist_followers,track_id,track_name,release_date,artist_genres,track_popularity,album_image
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,82,3164524,4xhsWYTOGcal8zt0J161CU,Lovin On Me,2023-11-10,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",94,https://i.scdn.co/image/ab67616d00001e02fcf4adae77baba5d0169e8e8
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11467146,2KslE17cAJNHTsI2MI0jb2,Standing Next to You,2023-11-03,['k-pop'],97,https://i.scdn.co/image/ab67616d00001e02741fd4807f442af3f7359316
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,6948238,3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,2023-03-24,['k-pop'],94,https://i.scdn.co/image/ab67616d00001e022b46078245d0120690eb560d
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,6948238,58BWnoFDNaeM0vwA0K3fqb,Like Crazy,2023-03-26,['k-pop'],90,https://i.scdn.co/image/ab67616d00001e02f9638e7ed5b7d42e9c514195
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,76,3614292,74X2u8JMVooG2QbjRxXwR8,Perfect Night,2023-10-27,['k-pop girl group'],90,https://i.scdn.co/image/ab67616d00001e025e352f6eccf8cb96d0b247cc
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11467146,7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),2023-07-14,['k-pop'],93,https://i.scdn.co/image/ab67616d00001e02bf5cce5a0e1ed03a626bdd74
6HvZYsbFfjnjFrWF950C9d,NewJeans,80,6282247,5sdQOyqq2IDhvmx2lHOpwd,Super Shy,2023-07-07,"['k-pop', 'k-pop girl group']",90,https://i.scdn.co/image/ab67616d00001e023d98a0ae7c78a3a9babaf8af
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11467146,6ehWdR7cGDXnT7aKEASJxE,3D (feat. Jack Harlow),2023-09-29,['k-pop'],91,https://i.scdn.co/image/ab67616d00001e02409a2d7bd4b2238e4aaa7bf5
2dIgFjalVxs4ThymZ67YCE,Stray Kids,82,13545818,1OG1NoKpZZLrMqMYCk9m84,LALALALA,2023-11-10,"['k-pop', 'k-pop boy group', 'pop']",87,https://i.scdn.co/image/ab67616d00001e022bca95a658fdf653a35a3710
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11467146,2gkVEnpahpE3bQuvGuCpAV,Yes or No,2023-11-03,['k-pop'],89,https://i.scdn.co/image/ab67616d00001e02741fd4807f442af3f7359316
