Playlist,Playlist ID,Playlist Creator ID,Artist,Track,Artist ID,Track ID
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,(G)I-DLE,Queencard,2AfmfGFbe0A0WsTYm0SDTx,4uOBL4DDWWVx4RhYKlPbPC
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,FIFTY FIFTY,Cupid - Twin Ver.,4GJ6xDCF5jaUqD6avOuQT6,739WUU1tPFLO4x4HJq561K
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,Stray Kids,LALALALA,2dIgFjalVxs4ThymZ67YCE,79f5CcWzdkkDVD4XAIQgKr
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,SUNMI,Gashina,6MoXcK2GyGg7FIyxPU5yW6,0jFHMDRXxKaREor3hBEEST
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,Red Velvet,Psycho,1z4g3DjTBBZKhvAroFlhOM,3CYH422oy1cZNoo0GTG1TK
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,NewJeans,Super Shy,6HvZYsbFfjnjFrWF950C9d,5sdQOyqq2IDhvmx2lHOpwd
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,SHINee,Replay,2hRQKC0gqlZGPrmUKbcchR,1rp986nzkyAX1wFpxzbwlC
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,GFRIEND,MAGO,0qlWcS66ohOIi0M8JZwPft,46WaBBaEHzgbN88Ew0nh50
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,EVERGLOW,LA DI DA,3ZZzT0naD25RhY2uZvIKkJ,6mIjJONoUMvGPT9Kzrab3L
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,I.O.I,Very Very Very,6RKnXXyprPjhBdCvL802Ku,0BhMw9r3eOLMLXRFBLCt6O
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,(G)I-DLE,Nxde,2AfmfGFbe0A0WsTYm0SDTx,6NnCWIWV740gP7DQ8kqdIE
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,SuperM,Jopping,5BHFSMEjfLVx1JwRWjAOsE,5WrEilrRI5cIW0DxMvQYPZ
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,Weeekly,After School,73B9bjqS2Z5KLXNGqXf64m,52CBUrIdyf8tbZaUY9iawE
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,Girls' Generation,I GOT A BOY,0Sadg1vgvaPqGTOjxu0N6c,2WkPfNd237yc0l5KewCDpp
