summonerName,championName,win,kills,deaths,assists,totalDamageDealtToChampions,allInPings,assistMePings,baitPings,baronKills,basicPings,bountyLevel,champExperience,champLevel,championId,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,perks,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,placement,playerAugment1,playerAugment2,playerAugment3,playerAugment4,playerSubteamId,profileIcon,pushPings,puuid,quadraKills,riotIdName,riotIdTagline,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,subteamPlacement,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,12AssistStreakCount,abilityUses,acesBefore15Minutes,alliedJungleMonsterKills,baronTakedowns,blastConeOppositeOpponentCount,bountyGold,buffsStolen,completeSupportQuestInTime,controlWardsPlaced,damagePerMinute,damageTakenOnTeamPercentage,dancedWithRiftHerald,deathsByEnemyChamps,dodgeSkillShotsSmallWindow,doubleAces,dragonTakedowns,earliestBaron,earlyLaningPhaseGoldExpAdvantage,effectiveHealAndShielding,elderDragonKillsWithOpposingSoul,elderDragonMultikills,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,epicMonsterStolenWithoutSmite,firstTurretKilled,firstTurretKilledTime,flawlessAces,fullTeamTakedown,gameLength,getTakedownsInAllLanesEarlyJungleAsLaner,goldPerMinute,hadOpenNexus,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kTurretsDestroyedBeforePlatesFall,kda,killAfterHiddenWithAlly,killParticipation,killedChampTookFullTeamDamageSurvived,killingSprees,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsOnRecentlyHealedByAramPack,killsUnderOwnTurret,killsWithHelpFromEpicMonster,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laneMinionsFirst10Minutes,laningPhaseGoldExpAdvantage,legendaryCount,lostAnInhibitor,maxCsAdvantageOnLaneOpponent,maxKillDeficit,maxLevelLeadLaneOpponent,mejaisFullStackInTime,moreEnemyJungleThanOpponent,multiKillOneSpell,multiTurretRiftHeraldCount,multikills,multikillsAfterAggressiveFlash,outerTurretExecutesBefore10Minutes,outnumberedKills,outnumberedNexusKill,perfectDragonSoulsTaken,perfectGame,pickKillWithAlly,playedChampSelectPosition,poroExplosions,quickCleanse,quickFirstTurret,quickSoloKills,riftHeraldTakedowns,saveAllyFromDeath,scuttleCrabKills,shortestTimeToAceFromFirstTakedown,skillshotsDodged,skillshotsHit,snowballsHit,soloBaronKills,soloKills,stealthWardsPlaced,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedownOnFirstTurret,takedowns,takedownsAfterGainingLevelAdvantage,takedownsBeforeJungleMinionSpawn,takedownsFirstXMinutes,takedownsInAlcove,takedownsInEnemyFountain,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,teleportTakedowns,tookLargeDamageSurvived,turretPlatesTaken,turretTakedowns,turretsTakenWithRiftHerald,twentyMinionsIn3SecondsCount,twoWardsOneSweeperCount,unseenRecalls,visionScoreAdvantageLaneOpponent,visionScorePerMinute,wardTakedowns,wardTakedownsBefore20M,wardsGuarded,,,,,,
sparkle,Yone,TRUE,4,3,7,17827,0,1,0,0,0,2,15992,16,777,0,11,4,3913,6143,3913,21210,0,0,0,0,TRUE,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,12051,9650,0,TOP,0,1,0,6693,6673,6677,1042,3006,1028,3364,21,1,TOP,419,2,1,704,26923,4222,8611,0,16,0,0,0,0,0,11,1,0,"{'statPerks': {'defense': 5003, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 57, 'var2': 6, 'var3': 0}, {'perk': 9111, 'var1': 1008, 'var2': 220, 'var3': 0}, {'perk': 9104, 'var1': 20, 'var2': 20, 'var3': 0}, {'perk': 8299, 'var1': 418, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8473, 'var1': 852, 'var2': 0, 'var3': 0}, {'perk': 8451, 'var1': 198, 'var2': 0, 'var3': 0}], 'style': 8400}]}",137476,11575,12164,0,0,0,0,0,0,29,0,0Dnkq0DWD83jLMMQ9cq0p7J31VVbHhdLhW-xw_fObZsXCvO1floWiqimt090gB8d6h68GA1lA1sqew,0,,,SOLO,0,296,70,64,11,0,3,12,4,4,0MThfd8ZSgl0E8ZmL3k7umCaJRxnS_7TmYQXOqCxcv4hAJk,1208,FALSE,100,TOP,15,1588,10,168814,0,23241,4,6753,0,209,160,81,1,0,4414,2029,2464,2,5,2,0,0,21,0,7,4,0,441,0,9,1,0,0,0,0,0,673.5444055,0.221479909,0,3,2,0,0,1236.442857,0,0,0,0,19,6,0,0,0,0,1,740.575422,0,2,1588.084325,0,455.3288844,0,2,0,0,0,0,0,3.666666667,0,0.47826087,0,0,2,0,0,0,0,0,2,66,0,0,0,84.50000006,2,4,0,0,0,0,0,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0,11.4250455,12,14,0,0,1,4,0,2,0,11,0,0,2,0,0,1,0.199673866,0,2,1,0,2,5,10,9,0,0,0.009117961,0.822752207,7,3,1,,,,,,
시작시작시작,Nidalee,TRUE,7,4,6,16672,2,17,0,1,0,5,13377,15,76,0,14,5,1924,29822,1924,16564,0,4,2,1,TRUE,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,12105,10200,0,JUNGLE,1,1,0,3020,2421,4636,3191,3165,1082,3364,25,2,JUNGLE,0,5,2,559,136350,13697,9619,0,141,0,0,0,0,0,40,2,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8128, 'var1': 884, 'var2': 13, 'var3': 0}, {'perk': 8143, 'var1': 498, 'var2': 0, 'var3': 0}, {'perk': 8136, 'var1': 12, 'var2': 30, 'var3': 0}, {'perk': 8135, 'var1': 450, 'var2': 5, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8210, 'var1': 7, 'var2': 0, 'var3': 0}, {'perk': 8232, 'var1': 6, 'var2': 30, 'var3': 0}], 'style': 8200}]}",17930,1742,18506,0,0,0,0,0,0,5982,0,AVMJcnZxdHFQ0Z3O_1NTKoy52pHO0esqfCNZzEHufTEj-YEZYQC-kbnzBwyhSiOo5JOQh3-bKp-TEg,0,,,NONE,0,258,287,180,268,0,3,4,15,11,3Aqh6b24ncxXJ8_nrhzkX56lQeEKGA8EKnOduEhP5n-pzO8,693,FALSE,100,JUNGLE,6,1588,70,198146,0,29105,22,18523,2511,22,160,101,5,0,43866,1232,979,2,4,2,0,0,55,4,11,19,0,993,0,54,1,0,0,1,0,0.649891847,4,629.9005781,0.277362633,0,4,2,0,1,1236.442857,1358.098566,0,2511.436035,0,0,0,16,1,0,0,0,1,740.575422,0,2,1588.084325,457.3512207,0,0,1,2,36.20000008,0,0,0,3.25,0,0.565217391,0,1,2,2,0,1,1,0,7,0,0,0,0,13.20000005,2,2,0,-57.60000005,0,0,2,0,4636,0,1,0,0,0,6,1,0,0,0,0,2,1,7,11.4250455,14,20,0,0,1,3,0,1,0,13,0,0,2,0,0,1,0.186735548,0,2,0,1,4,10,0,0,0,0.97610569,2.078600223,11,2,2,,,,
Damn JG,Tristana,TRUE,5,4,4,24099,2,2,0,0,0,0,14279,15,18,0,6,7,8945,19158,8945,14399,0,4,1,0,TRUE,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,13166,13125,0,MIDDLE,0,0,0,3072,6675,1036,1036,3006,6672,3363,28,2,MIDDLE,566,2,2,949,29696,2153,11652,0,11,0,0,0,0,0,13,3,0,"{'statPerks': {'defense': 5003, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 60, 'var2': 7, 'var3': 0}, {'perk': 9101, 'var1': 1429, 'var2': 1903, 'var3': 0}, {'perk': 9104, 'var1': 20, 'var2': 0, 'var3': 0}, {'perk': 8014, 'var1': 497, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8473, 'var1': 674, 'var2': 0, 'var3': 0}, {'perk': 8446, 'var1': 1156, 'var2': 0, 'var3': 0}], 'style': 8400}]}",135765,21945,8427,0,0,0,0,0,0,28,0,ZrxXyneBbi3PmE-Gt_wTw5nCj4ZlWVbIDnzYfDRquncmcT8uFq-u6Rt_YlZg6OjGYhfuunwyKjy3hQ,0,,,SOLO,0,52,35,35,6,0,3,12,4,4,UI0CcYlLIR2ypp_Xwqd4E2lhlFADWAzIEuJJ-dam7MdZUcOY6nzzUYGwqg,243,FALSE,100,MIDDLE,3,1588,4,165461,0,20743,6,4429,0,220,27,116,1,0,0,0,664,4,4,2,0,0,33,5,12,10,0,128,0,3,1,0,0,0,0,0.837089462,4,910.5042082,0.197679873,0,4,0,0,0,1236.442857,0,0,0,0,5,2,0,0,0,0,1,740.575422,0,2,1588.084325,0,497.4341541,0,1,0,0,0,0,1,2.25,0,0.391304348,0,0,4,0,0,0,0,2,0,83,0,0,0,37.5,2,2,0,0,0,0,1,0,6675,0,1,0,0,0,6,1,0,0,0,0,0,0,0,11.4250455,8,0,0,0,1,1,4,0,6,1,9,0,0,3,0,0,1,0.269921171,0,2,0,5,4,10,10,0,0,0.659601331,1.252374615,12,9,3,,,,
dnasojiayin7ox,Ezreal,TRUE,6,2,7,25120,0,3,0,0,0,2,13252,15,81,0,12,3,5707,10205,5707,7136,0,2,1,0,TRUE,10,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,12434,11063,0,BOTTOM,0,1,0,3158,3042,1055,6694,3078,0,3363,25,2,BOTTOM,0,3,2,896,14828,6936,2886,0,16,0,0,0,0,0,5,4,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8005, 'var1': 895, 'var2': 639, 'var3': 256}, {'perk': 8009, 'var1': 2317, 'var2': 0, 'var3': 0}, {'perk': 9103, 'var1': 20, 'var2': 40, 'var3': 0}, {'perk': 8014, 'var1': 552, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8345, 'var1': 3, 'var2': 0, 'var3': 0}, {'perk': 8304, 'var1': 9, 'var2': 4, 'var3': 5}], 'style': 8300}]}",141114,17883,9768,0,0,0,0,0,0,6221,0,REw07L0pCFgVr2WWt-E3afF5U_eIi4R4ycusOk08oDTXT3szuP7S3_WCLXrKacuauwGC5AFQEZaclw,0,,,CARRY,0,282,60,63,14,0,4,4,3,7,ynnyYdb0lIkBVT0rZEJOkXSw1hnzcHVlB25p86Tfr4P6FnjF3g8w-n8RYA,231,FALSE,100,BOTTOM,6,1588,10,160584,0,13754,4,5385,384,225,71,61,3,0,4641,300,1099,0,3,2,0,0,21,2,11,8,0,419,0,4,0,0,300,1,0,0.499514323,2,949.0881362,0.13107374,0,2,0,0,1,1236.442857,1358.098566,0,384,0,0,0,1,0,0,0,0,1,740.575422,0,2,1588.084325,0,469.7913637,0,1,0,0,0,0,0,0,6.5,0,0.565217391,0,1,2,0,0,2,0,0,11,70,0,0,0,4,2,1,0,0,0,0,1,0,3078,0,1,0,0,0,7,1,0,0,0,0,1,0,0,11.4250455,9,88,0,0,1,5,0,2,0,13,0,0,5,0,0,1,0.28135947,0,2,0,1,3,10,10,0,0,-0.201771021,0.796339378,11,5,0,,,
haohao sup,Rell,TRUE,1,5,9,5563,0,3,0,0,0,0,8933,12,526,0,0,15,529,8445,529,20229,0,12,0,0,TRUE,8,16,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,7219,6450,0,UTILITY,0,1,0,0,1033,3860,3067,6667,3111,3364,28,0,BOTTOM,0,0,1,498,12612,3749,6839,1,0,0,0,0,0,0,12,5,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8351, 'var1': 65, 'var2': 746, 'var3': 0}, {'perk': 8306, 'var1': 7, 'var2': 0, 'var3': 0}, {'perk': 8316, 'var1': 475, 'var2': 0, 'var3': 0}, {'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}], 'style': 8300}, {'description': 'subStyle', 'selections': [{'perk': 8275, 'var1': 15, 'var2': 0, 'var3': 0}, {'perk': 8234, 'var1': 10477, 'var2': 0, 'var3': 0}], 'style': 8200}]}",5319,1287,10492,0,0,0,0,0,0,3804,0,UcjptMsNTMlhsey5G-JHGv70Ull381XLE1Z4PciAAYhKC8ykobLrGmmtMgICqk22TMgakCB-Zt56TQ,0,,,SUPPORT,0,75,36,56,6,0,5,14,10,4,C9YAFAWjWPB134XI1b8Rc8JvH0RdYrkT1Ij72e2y7tO7qTOJR-pjOKmXBg,72,FALSE,100,UTILITY,43,1588,0,28410,0,18091,0,2721,1502,43,165,117,5,0,10477,526,759,1,4,2,0,1,77,13,12,41,0,173,0,0,1,0,0,0,1,0.700258148,12,210.1853198,0.172403844,0,5,4,0,1,1236.442857,1358.098566,0,1502.443115,0,0,51,0,0,0,0,0,1,740.575422,0,2,1588.084325,0,272.7494037,0,8,0,0,0,0,0,2,0,0.434782609,0,0,1,0,0,0,1,6,0,17,0,0,0,24,2,1,0,0,0,0,0,0,6667,0,0,0,0,0,6,1,0,0,0,0,2,0,0,11.4250455,27,0,0,0,0,26,0,1,0,10,0,0,3,0,0,1,0.062309946,0,2,0,0,4,10,1,0,0,-0.231041908,2.939108433,12,8,3,,,,
딸기따르트으,Rumble,FALSE,2,5,4,13709,0,0,0,0,0,0,10378,13,68,0,14,7,0,0,0,17907,0,5,0,0,TRUE,10,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,9,7595,7425,0,TOP,0,0,1,4637,3020,3145,1082,3108,0,3364,20,0,TOP,0,0,1,543,67724,12621,6226,0,0,0,0,0,0,0,8,6,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8229, 'var1': 908, 'var2': 0, 'var3': 0}, {'perk': 8275, 'var1': 9, 'var2': 0, 'var3': 0}, {'perk': 8233, 'var1': 13, 'var2': 30, 'var3': 0}, {'perk': 8237, 'var1': 714, 'var2': 0, 'var3': 0}], 'style': 8200}, {'description': 'subStyle', 'selections': [{'perk': 8139, 'var1': 748, 'var2': 0, 'var3': 0}, {'perk': 8106, 'var1': 5, 'var2': 0, 'var3': 0}], 'style': 8100}]}",9532,291,13807,0,0,0,0,0,0,5871,0,U1hbYulswJ0RSUpTlgGT14M-88YKb3QwO12Og7dqbbYhADFXcfI2s9NZxDjgQad_l7sdxyW3hUUxNA,0,,,DUO,0,74,119,119,9,0,5,14,4,4,mkEfGIzVT7RA6oXxVOD5_z9NAGXcTJmtclvAcsAsrk203qQ8oMICNu-XUA,331,FALSE,200,TOP,16,1588,0,78052,0,21130,0,2657,0,140,234,179,1,0,796,796,1096,0,0,9,0,0,21,5,1,11,0,321,0,1,0,0,0,0,0,0.761863294,5,517.9458586,0.187728403,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1588.084325,0,286.9682043,0,0,0,0,0,0,0,1.2,0,0.333333333,0,0,1,0,0,1,0,0,13,60,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,13,40,0,0,1,6,0,2,0,6,0,0,2,0,0,0,0.187539994,0,0,0,0,0,0,6,0,0,-0.009035647,0.815318122,1,1,0,,,,,,,,,
으끄으끄,LeeSin,FALSE,6,4,7,13967,0,10,0,0,0,0,10472,13,64,0,13,7,1279,21880,1279,28526,0,6,1,2,TRUE,12,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12,9828,9250,0,JUNGLE,0,0,1,6630,0,1036,3158,3082,3071,3340,22,3,JUNGLE,0,2,2,763,31283,1735,10217,0,138,0,0,0,0,0,61,7,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 319, 'var2': 0, 'var3': 0}, {'perk': 9111, 'var1': 1214, 'var2': 260, 'var3': 0}, {'perk': 9104, 'var1': 14, 'var2': 10, 'var3': 0}, {'perk': 8014, 'var1': 326, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}, {'perk': 8304, 'var1': 11, 'var2': 1, 'var3': 5}], 'style': 8300}]}",104512,11198,21262,0,0,0,0,0,0,7,0,w5xZoMnS1MHb7QyusVzRe6tvOmkfH-qb5VsyiAoId5EzpP-tATcdVRixyBo4Q2c-IcXy0oLApQp7gA,0,,,NONE,0,195,189,139,8,0,18,11,4,4,4vW6kmb6Z68dDJwVRSA4-3cznD0YZEkea0Wd3tz4Spqx-Cc,629,FALSE,200,JUNGLE,22,1588,102,173322,582,32252,18,17001,0,12,571,91,1,0,37527,1032,773,0,1,9,0,0,27,6,1,16,0,531,0,68,0,0,150,1,0,0.574291858,6,527.7026389,0.286534064,0,4,2,0,2,671.1290817,0,582.6908569,0,0,23,10,0,0,0,0,0,0,1,1588.084325,371.3349238,0,5,3,0,60.30000007,0,1,0,3.25,1,0.722222222,0,0,2,0,0,1,0,5,3,0,0,0,0,25.59999999,0,2,0,-14.20000008,0,0,1,0,6630,0,1,0,0,0,9,1,0,0,0,0,0,0,0,12,22,0,0,1,10,0,0,0,13,0,0,6,0,0,0,0.19107277,0,0,0,0,1,0,0,0,0,-0.493954182,1.051866902,1,0,2,,,,,,,
강하다 별,Sylas,FALSE,1,6,5,12453,0,0,1,0,0,0,12530,14,517,0,2,4,1750,3777,1750,17665,0,3,0,0,TRUE,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,8554,8460,0,MIDDLE,0,0,1,3157,6656,1052,3158,1056,0,3364,19,0,TOP,0,0,1,395,100832,12403,5066,0,0,0,0,0,0,0,6,8,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 114, 'var2': 0, 'var3': 0}, {'perk': 8009, 'var1': 1599, 'var2': 0, 'var3': 0}, {'perk': 9105, 'var1': 20, 'var2': 30, 'var3': 0}, {'perk': 8299, 'var1': 393, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8345, 'var1': 3, 'var2': 0, 'var3': 0}, {'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}], 'style': 8300}]}",6088,49,19472,0,0,0,0,0,0,5969,0,QYgSOS1j-AdKBgzDMsl45eB8MtcZ1AuKSdoda0f2nTiBTaVNPqoRE0dhmM-JSVP6HFTgG8nePFlvhQ,0,,,DUO,0,91,43,140,18,0,4,12,5,4,Gxr8Eo-0F3MXXIbuwWOrnSl4yAX61LCAyeDC3Kxp3zxGSTQ,674,FALSE,200,MIDDLE,23,1588,0,111457,0,25068,0,3563,0,187,388,202,1,0,4536,0,529,1,1,9,0,0,19,3,2,12,0,292,0,0,0,0,0,0,0,0.565953789,3,470.5115342,0.222711557,0,6,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,1,1588.084325,0,323.2089495,0,5,0,0,0,0,0,1,1,0.333333333,0,0,0,0,0,0,1,1,2,60,0,0,0,1,0,1,0,0,0,0,0,0,6656,0,1,0,0,0,5,1,0,0,0,0,0,0,0,5,11,0,0,0,9,0,0,0,6,0,0,1,0,0,0,0.170364776,0,0,1,0,0,1,0,8,0,0,-0.397445679,0.754623771,2,2,0,,,,,,,
keep think,Twitch,FALSE,4,3,9,22530,0,6,0,0,0,0,12604,14,29,0,2,4,3959,10939,3959,7643,0,2,0,0,TRUE,9,10,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,11299,11000,0,BOTTOM,0,0,1,1055,3031,0,3085,3006,3153,3363,21,1,BOTTOM,4081,3,1,1068,10584,1620,4831,0,8,0,0,0,0,0,9,9,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8005, 'var1': 1280, 'var2': 828, 'var3': 452}, {'perk': 8009, 'var1': 2457, 'var2': 0, 'var3': 0}, {'perk': 9104, 'var1': 14, 'var2': 10, 'var3': 0}, {'perk': 8017, 'var1': 398, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}, {'perk': 8304, 'var1': 10, 'var2': 3, 'var3': 0}], 'style': 8300}]}",120506,18438,8987,0,0,0,0,0,0,23,0,Or9zRJIX4863GGGuJfYwKZG-FrDZmBLyWTk9DMPUqLYAcWKQDrZ4LbRnLX6BlC8YIV7U40rxu8zwQg,0,,,CARRY,0,35,34,47,8,0,3,4,5,3,KsiCYHuarDkKfRuwekpeXf51ZErciiFNk1yhqkfwjn0YkvzjXXhWbUEDsg,98,FALSE,200,BOTTOM,8,1588,4,150258,0,14589,0,4403,0,227,414,57,1,0,19167,2471,770,1,1,9,0,0,26,2,7,11,0,124,0,6,0,0,300,0,0,2,851.235202,0.129610778,0,3,1,0,1,671.1290817,0,0,0,0,0,0,0,0,0,0,0,0,1,1588.084325,0,426.9040862,0,0,0,0,4,0,0,4.333333333,1,0.722222222,0,1,0,0,0,1,0,0,0,78,0,0,0,21.00000003,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,1,10,2,0,0,0,1,4,0,4,0,13,0,0,6,0,0,0,0.308218788,0,0,0,0,1,0,10,0,0,0.252773404,0.997632786,7,3,0,,,,,,,,
Lotsoo,Bard,FALSE,5,5,9,10438,0,5,0,0,0,0,8953,12,432,0,36,11,0,0,0,17154,0,8,1,0,TRUE,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12,8031,7500,0,UTILITY,0,0,1,3107,3853,0,6667,3158,1028,3364,25,2,BOTTOM,0,3,2,871,10799,7515,6710,0,0,0,0,0,0,0,25,10,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8465, 'var1': 1349, 'var2': 0, 'var3': 0}, {'perk': 8463, 'var1': 1136, 'var2': 0, 'var3': 0}, {'perk': 8473, 'var1': 748, 'var2': 0, 'var3': 0}, {'perk': 8451, 'var1': 150, 'var2': 0, 'var3': 0}], 'style': 8400}, {'description': 'subStyle', 'selections': [{'perk': 8136, 'var1': 21, 'var2': 30, 'var3': 0}, {'perk': 8105, 'var1': 13, 'var2': 5, 'var3': 0}], 'style': 8100}]}",4053,2257,11892,0,0,0,0,0,0,1154,0,KsF_KDvQE8FN5p1qBkdcFQbyKAREPvayljvMw25VdP58856MeCktVGo1T5TkgcUvdo8YjQRKiqhUjw,0,,,SUPPORT,0,50,84,28,4,0,6,14,5,4,ff1dDPTeYjByhy4aYNzPr_ppS8qWmWVjfxFTsFGzOyP7gBh2ZJ3rI2986A,252,FALSE,200,UTILITY,47,1588,0,15519,791,19519,0,8714,5399,25,168,132,6,0,666,666,916,0,0,9,0,0,101,8,19,58,0,166,0,0,0,0,150,0,1,0.074303145,8,394.393587,0.173415197,0,5,2,0,0,0,6191.722656,0,0,29,0,0,0,0,0,0,0,1,1588.084325,0,303.4561377,0,1,1,2,0,0,0,0,0,2.8,1,0.777777778,0,1,0,0,0,2,0,0,6,7,0,0,0,0,0,2,0,0,0,0,1,0,6667,0,0,0,0,0,12,1,0,0,0,0,0,2,0,13,31,0,0,0,28,0,4,0,14,0,0,8,0,0,0,0.142803673,0,0,0,0,0,0,0,1,0,0.300460935,3.822195762,20,15,0,,,,,,
