artist_id,artist_name,artist_popularity,artist_followers
7E1o9IcnpiFQDlAUk2H7Az,Madi Diaz,44,36450
26DytDdxKgr9N0tdrBSLs2,Wilder Woods,46,68181
4RwbDag6jWIYJnEGH6Wte9,Drew Holcomb & The Neighbors,54,149838
2Sqr0DXoaYABbjBo9HaMkM,Sara Bareilles,63,1933918
67IN4cLJ7798gUapyZlmac,Zack Tabudlo,69,3609522
4s6YWKUwngB7oxE6CPWsW2,Clementine Duo,47,27358
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,70,7310773
3bCmhyXqTr9ZNGlHNYNTFA,Graham Colton,39,31746
4RwbDag6jWIYJnEGH6Wte9,Drew Holcomb & The Neighbors,54,149838
511vWnluvbgTL9TDgqlwVZ,Edward Ong,54,13869
511vWnluvbgTL9TDgqlwVZ,Edward Ong,54,13869
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,70,7310773
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,70,7310773
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,70,7310773
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,70,7310773
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,70,7310773
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,70,7310773
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,70,7310773
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,70,7310773
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,70,7310773
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,70,7310773
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,70,7310773
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,70,7310773
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,70,7310773
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,70,7310773
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,70,7310773
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,70,7310773
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,70,7310773
