artist_id,artist_name,artist_popularity,artist_followers
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
5nd7jnne7zbsV2J5jBKNOY,Gammer,49,59489
5nd7jnne7zbsV2J5jBKNOY,Gammer,49,59489
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
0HlxL5hisLf59ETEPM3cUA,Scooter,63,798344
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
0HlxL5hisLf59ETEPM3cUA,Scooter,63,798344
2FmgW6Jee0JQKtb6EnBWCq,DJ Isaac,49,77198
6g7nQh1zK0QGZVphaMCGWj,Tweekacore,40,20898
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
5nd7jnne7zbsV2J5jBKNOY,Gammer,49,59489
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
0HlxL5hisLf59ETEPM3cUA,Scooter,63,798344
0HlxL5hisLf59ETEPM3cUA,Scooter,63,798344
2gZzTzeACSwFqkMroVxmnm,Darren Styles,55,123808
2gZzTzeACSwFqkMroVxmnm,Darren Styles,55,123808
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
2gZzTzeACSwFqkMroVxmnm,Darren Styles,55,123808
2FmgW6Jee0JQKtb6EnBWCq,DJ Isaac,49,77198
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
45mQUJrPyctvf2IhkVE0ym,Technikore,43,19730
0HlxL5hisLf59ETEPM3cUA,Scooter,63,798344
0HlxL5hisLf59ETEPM3cUA,Scooter,63,798344
5nd7jnne7zbsV2J5jBKNOY,Gammer,49,59489
2gZzTzeACSwFqkMroVxmnm,Darren Styles,55,123808
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
123hDJRbi4KtCdBaaKNHW6,Paul Elstak,55,224214
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
0HlxL5hisLf59ETEPM3cUA,Scooter,63,798344
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
6g7nQh1zK0QGZVphaMCGWj,Tweekacore,40,20898
2gZzTzeACSwFqkMroVxmnm,Darren Styles,55,123808
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
67es8ZtGIcV80XDLwlQkU3,Brisk,22,5028
45mQUJrPyctvf2IhkVE0ym,Technikore,43,19730
79PC6rrXA39xOdNTf71dvN,Hixxy,40,25014
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
123hDJRbi4KtCdBaaKNHW6,Paul Elstak,55,224214
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
1rWaCpcmmjycvD00Kf6YyE,Korsakoff,42,109345
3xKGhixeP24bKwHQ7yPyXF,Joey Riot,24,8924
45mQUJrPyctvf2IhkVE0ym,Technikore,43,19730
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
5nd7jnne7zbsV2J5jBKNOY,Gammer,49,59489
1Y1sNScqx8BPZceaO7LjTO,Evil Activities,42,58455
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
2gZzTzeACSwFqkMroVxmnm,Darren Styles,55,123808
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
5nd7jnne7zbsV2J5jBKNOY,Gammer,49,59489
123hDJRbi4KtCdBaaKNHW6,Paul Elstak,55,224214
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
2gZzTzeACSwFqkMroVxmnm,Darren Styles,55,123808
67es8ZtGIcV80XDLwlQkU3,Brisk,22,5028
2gZzTzeACSwFqkMroVxmnm,Darren Styles,55,123808
2FmgW6Jee0JQKtb6EnBWCq,DJ Isaac,49,77198
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
5nd7jnne7zbsV2J5jBKNOY,Gammer,49,59489
2gZzTzeACSwFqkMroVxmnm,Darren Styles,55,123808
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
2gZzTzeACSwFqkMroVxmnm,Darren Styles,55,123808
2gZzTzeACSwFqkMroVxmnm,Darren Styles,55,123808
5nd7jnne7zbsV2J5jBKNOY,Gammer,49,59489
7g5ui8tZDjX3z3H5YmHwcH,Alaguan,31,1452
5nd7jnne7zbsV2J5jBKNOY,Gammer,49,59489
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
0HlxL5hisLf59ETEPM3cUA,Scooter,63,798344
7g5ui8tZDjX3z3H5YmHwcH,Alaguan,31,1452
5nd7jnne7zbsV2J5jBKNOY,Gammer,49,59489
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
2gZzTzeACSwFqkMroVxmnm,Darren Styles,55,123808
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
123hDJRbi4KtCdBaaKNHW6,Paul Elstak,55,224214
1Y1sNScqx8BPZceaO7LjTO,Evil Activities,42,58455
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
0HlxL5hisLf59ETEPM3cUA,Scooter,63,798344
7g5ui8tZDjX3z3H5YmHwcH,Alaguan,31,1452
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
45mQUJrPyctvf2IhkVE0ym,Technikore,43,19730
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
5nd7jnne7zbsV2J5jBKNOY,Gammer,49,59489
2gZzTzeACSwFqkMroVxmnm,Darren Styles,55,123808
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
7ykuX8JwiitjBbIMlGVH0B,Eufeion,25,2107
5nd7jnne7zbsV2J5jBKNOY,Gammer,49,59489
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
11aa081aKYUzmeFm0yHdT2,S3RL,56,341704
1sdnBnX93VaNXyorAiwXzO,DJ Rob,24,4387
5nd7jnne7zbsV2J5jBKNOY,Gammer,49,59489
3VmdvdqFAX1F9kwV54xGMT,Styles & Breeze,40,17486
