artist_id,artist_name,artist_popularity,artist_followers
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,83,3207807
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,83,6344324
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,90,25557930
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,90,25557930
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,90,25557930
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,90,25557930
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,84,30354151
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,78,3348072
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,90,25557930
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,83,16343833
6Ip8FS7vWT1uKkJSweANQK,Dave,77,4077894
6qxpnaukVayrQn6ViNvu9I,BigXthaPlug,71,283632
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,90,25557930
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,75,2852515
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,80,4949615
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,80,13200024
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,83,16343833
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
716NhGYqD1jl2wI1Qkgq36,Bizarrap,83,13566712
1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,84,6422718
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
3hcs9uc56yIGFCSy9leWe7,Lil Durk,80,6672541
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
1TtXnWcUs0FCkaZDPGYHdf,Darell,76,4155555
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,75,2852515
3hcs9uc56yIGFCSy9leWe7,Lil Durk,80,6672541
50co4Is1HCEo8bhOyUWKpn,Young Thug,82,9255636
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
6AUl0ykLLpvTktob97x9hO,Tee Grizzley,68,3617529
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,90,25557930
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,79,6220674
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,83,16343833
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
6U3ybJ9UHNKEdsH7ktGBZ7,JID,76,1445376
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
1RyvyyTE3xzB2ZywiAwp0i,Future,87,15506192
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
1RyvyyTE3xzB2ZywiAwp0i,Future,87,15506192
2kCcBybjl3SAtIcwdWpUe3,Lil Peep,81,11161185
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,83,6344324
1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,84,6422718
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,84,6422718
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,83,3207807
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,83,16343833
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,77,7189705
0RESbWvOMyua0yuyVrztJ5,Key Glock,75,1804495
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,86,26270832
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
0VRj0yCOv2FXJNP47XQnx5,Quavo,76,7096298
3hcs9uc56yIGFCSy9leWe7,Lil Durk,80,6672541
3uo0ix4Y67XHVWBhXXIY1S,Xavier Wulf,69,806244
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,86,26270832
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,77,7189705
4LLpKhyESsyAXpc4laK94U,Mac Miller,80,9842339
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,86,26270832
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,86,26270832
0Njy6yR9LykNKYg9yE23QN,Nardo Wick,66,919912
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
1RyvyyTE3xzB2ZywiAwp0i,Future,87,15506192
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
2qoQgPAilErOKCwE2Y8wOG,GloRilla,59,441972
716NhGYqD1jl2wI1Qkgq36,Bizarrap,83,13566712
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,86,26270832
5SXuuuRpukkTvsLuUknva1,Baby Keem,76,1894354
2P5sC9cVZDToPxyomzF1UH,Joey Bada$$,71,3274744
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,79,10003691
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,89,22480231
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,83,6344324
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,83,6344324
6U3ybJ9UHNKEdsH7ktGBZ7,JID,76,1445376
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,84,30354151
1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,84,6422718
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
6eXHRfK9Ad3IpMpSAqvcDf,Lefty Sm,74,1415905
6fxyWrfmjcbj5d12gXeiNV,Denzel Curry,68,2438616
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,80,4949615
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,79,6220674
5SXuuuRpukkTvsLuUknva1,Baby Keem,76,1894354
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,85,22172047
5SXuuuRpukkTvsLuUknva1,Baby Keem,76,1894354
0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,74,10793990
1z7b1Pr1rSlvWRzsW3HOrS,Russ,74,5020605
6oMuImdp5ZcFhWP0ESe6mG,Migos,74,13682375
0RESbWvOMyua0yuyVrztJ5,Key Glock,75,1804495
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,75,2852515
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",83,13381782
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
3tJoFztHeIJkJWMrx0td2f,Moneybagg Yo,73,4186006
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",83,13381782
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
5F1aAS1duwlzExnPs3l2Xe,Pooh Shiesty,67,1359494
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,80,4949615
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,80,4949615
