artist_id,artist_name,track_id,track_name,release_date,track_popularity,album_image
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,7dJYggqjKo71KI9sLzqCs8,Agora Hills,2023-09-22,93,https://i.scdn.co/image/ab67616d00001e0294203dd82d27b494c777d07c
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,2023-08-04,95,https://i.scdn.co/image/ab67616d00001e027acee948ecac8380c1b6ce30
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,2023-05-25,93,https://i.scdn.co/image/ab67616d00001e027dd3ba455ee3390cb55b0192
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,4OMJGnvZfDvsePyCwRGO7X,Houdini,2023-11-09,93,https://i.scdn.co/image/ab67616d00001e02001d5706fddc72561f6488af
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,56y1jOTK0XSvJzVv9vHQBK,Paint The Town Red,2023-09-20,88,https://i.scdn.co/image/ab67616d00001e02a840032f14ab22da396e43cb
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,5PyDJG7SQRgWXefgexqIge,Agora Hills,2023-09-20,84,https://i.scdn.co/image/ab67616d00001e02a840032f14ab22da396e43cb
0EmeFodog0BfCgMzAIvKQp,Shakira,5wjsJIUf6pdrwauPDae43o,El Jefe,2023-09-20,84,https://i.scdn.co/image/ab67616d00001e021e45888bd125c016dbe319aa
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,2023-04-06,87,https://i.scdn.co/image/ab67616d00001e020b4ef75c3728599aa4104f7a
7kNqXtgeIwFtelmRjWv205,John Summit,4qDpLaFGf5ampf2DXD2TMA,Where You Are,2023-03-03,78,https://i.scdn.co/image/ab67616d00001e021744223e31fd75e05a0f5f02
5fMUXHkw8R8eOP2RNVYEZX,Diplo,60bbiP93CSxmLibuwvxay9,Heartbroken - Jessie Version,2023-07-28,71,https://i.scdn.co/image/ab67616d00001e027a863713ed21193f3cf07e45
5fMUXHkw8R8eOP2RNVYEZX,Diplo,6NdnvPwQvZb147DVa4x14h,Heartbroken (feat. Jessie Murph & Polo G),2023-07-21,74,https://i.scdn.co/image/ab67616d00001e026f5e1588afb23d4150cedf15
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,7DlZH8EiVDgQXNoj3dnyZC,Paint The Town Red,2023-09-22,80,https://i.scdn.co/image/ab67616d00001e0294203dd82d27b494c777d07c
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,1bHnRc60O1N0l3PbHjaKyK,Better Place (From TROLLS Band Together),2023-09-29,77,https://i.scdn.co/image/ab67616d00001e0200693a6a40d04ca03bf155cc
5fMUXHkw8R8eOP2RNVYEZX,Diplo,60eA3QITW5G2D7Woc11uKc,Heartbroken (feat. Jessie Murph & Polo G),2023-07-28,72,https://i.scdn.co/image/ab67616d00001e027a863713ed21193f3cf07e45
23zg3TcAtWQy7J6upgbUnj,USHER,0J1YRLYhTG1MBosjidD7OI,Good Good,2023-08-04,75,https://i.scdn.co/image/ab67616d00001e020a5b9c6778c775710b20cb44
7CajNmpbOovFoOoasH2HaY,Calvin Harris,22dUzMFttcR3uU17NcOAIv,Desire (with Sam Smith),2023-07-28,86,https://i.scdn.co/image/ab67616d00001e0262aaea327f6977dae3c94cdf
4xFUf1FHVy696Q1JQZMTRj,Carrie Underwood,1xdsRkWxWWUkKhh9hRtfYp,Out Of That Truck,2023-03-10,71,https://i.scdn.co/image/ab67616d00001e0200aba0b08861a8eb0d8ba6ad
31TPClRtHm23RisEBtV3X7,Justin Timberlake,7ELtAKka2YiZRclp70wZ6F,Better Place (Family Harmony),2023-10-20,72,https://i.scdn.co/image/ab67616d00001e0267e27d8bcf994024c5ce9820
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,11xC6P3iKYpFThT6Ce1KdG,Attention,2023-06-16,75,https://i.scdn.co/image/ab67616d00001e0224b893fb9e7953ebc9517c6a
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,1xemKSmCnH59ze3KX5wwgH,Demons,2023-08-31,74,https://i.scdn.co/image/ab67616d00001e02d5fe37ec6d8f78ffc5437859
7CajNmpbOovFoOoasH2HaY,Calvin Harris,5eTaQYBE1yrActixMAeLcZ,Miracle (with Ellie Goulding),2023-03-10,85,https://i.scdn.co/image/ab67616d00001e02c58e22815048f8dfb1aa8bd0
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,36gcliMRX1vCpgnrZE3dFZ,10:35,2023-04-21,79,https://i.scdn.co/image/ab67616d00001e02cf8c47967e5c6bbc7dca5abb
3wcj11K77LjEY1PkEazffa,Burna Boy,4RoKNqyZ9622tcAeNPNv5k,City Boys,2023-08-24,82,https://i.scdn.co/image/ab67616d00001e0239550ce4ccf28a1a4b82a443
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,1TXbPx0WUaJM0fjDVs4wCD,Hands On Me (feat. Meghan Trainor),2023-10-13,75,https://i.scdn.co/image/ab67616d00001e02d526f18c7e5e5161eaa757a7
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,11C4y2Yz1XbHmaQwO06s9f,Dance The Night,2023-07-21,78,https://i.scdn.co/image/ab67616d00001e02d16ac0ec27653182d719ab36
72OaDtakiy6yFqkt4TsiFt,Cher,2ljUUoqlnRUGGa7bmpvevC,DJ Play A Christmas Song,2023-10-06,71,https://i.scdn.co/image/ab67616d00001e02066dc51afb0f86d2f4e917bc
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,4rjQxlKAIXbEqHzjrnYZ7x,Shutcho,2023-09-22,70,https://i.scdn.co/image/ab67616d00001e0294203dd82d27b494c777d07c
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,1CcLA0eaauck34YEIrvAAq,When We Were Young (The Logical Song),2023-11-10,81,https://i.scdn.co/image/ab67616d00001e02c8e153557024fd571a5a83d6
7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,0Me3GyNuLOa1YTIxhJPyCn,ASI ES LA VIDA,2023-09-28,83,https://i.scdn.co/image/ab67616d00001e023d2a295bbc9935d3e4b5bfe5
31TPClRtHm23RisEBtV3X7,Justin Timberlake,02xkg0KUfiytfbnwAevy1p,BroZone's Back,2023-10-20,70,https://i.scdn.co/image/ab67616d00001e0267e27d8bcf994024c5ce9820
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,6vb4kCEIM7zrwuHlxFbfeB,Demons,2023-09-22,71,https://i.scdn.co/image/ab67616d00001e0294203dd82d27b494c777d07c
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,5ZyQqAgrPr0cVm0VfM69Np,Can't Wait,2023-09-22,70,https://i.scdn.co/image/ab67616d00001e0294203dd82d27b494c777d07c
