danceability,energy,music_key,loudness,music_mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,time_signature
0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,4xhsWYTOGcal8zt0J161CU,4
0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,2KslE17cAJNHTsI2MI0jb2,4
0.629,0.733,7,-5.445,1,0.0419,0.0025,0.0,0.357,0.362,120.001,3Ua0m0YmEjrMi9XErKcNiR,4
0.697,0.82,5,-4.502,1,0.0308,0.1,0.0,0.0631,0.502,136.054,74X2u8JMVooG2QbjRxXwR8,4
0.629,0.733,7,-5.445,1,0.0419,0.0025,0.0,0.357,0.362,120.001,58BWnoFDNaeM0vwA0K3fqb,4
0.776,0.817,5,-6.018,0,0.0748,0.18,3.44e-05,0.146,0.515,149.921,5sdQOyqq2IDhvmx2lHOpwd,4
0.802,0.832,11,-4.107,1,0.0434,0.311,0.0,0.0815,0.89,124.997,7x9aauaA9cu6tyfpHnqDLo,4
0.705,0.849,0,-2.595,1,0.0493,0.0647,0.0,0.653,0.609,125.976,1OG1NoKpZZLrMqMYCk9m84,4
0.853,0.824,1,-3.287,1,0.103,0.0322,0.0,0.0859,0.888,108.044,6ehWdR7cGDXnT7aKEASJxE,4
0.671,0.839,1,-2.645,1,0.0866,0.179,0.0,0.0748,0.882,83.845,2gkVEnpahpE3bQuvGuCpAV,4
0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,65FftemJ1DbbZ45DUfHJXE,4
0.812,0.749,10,-6.389,0,0.0397,0.108,0.0,0.0599,0.841,134.971,56v8WEnGzLByGsDAXDiv4d,4
0.79,0.831,11,-4.185,1,0.044,0.312,0.0,0.0797,0.872,124.987,2HRgqmZQC0MC7GeNuDIXHN,4
0.623,0.755,7,-5.386,1,0.0415,0.00306,0.0,0.387,0.32,119.957,0u8rZGtXJrLtiSe34FPjGG,4
0.644,0.872,6,-1.54,0,0.0417,0.164,0.0,0.363,0.378,131.016,5XWlyfo0kZ8LF7VSyfS4Ew,4
0.783,0.592,11,-8.332,0,0.0331,0.435,4.15e-06,0.347,0.726,120.018,7FbrGaHYVDmfr7KoLIZnQ7,4
0.807,0.721,4,-6.211,0,0.0508,0.51,0.00216,0.115,0.532,134.014,6rdkCkjk6D12xRpdMXy0I2,4
0.797,0.743,11,-6.005,1,0.174,0.164,1.2e-06,0.164,0.768,114.878,0k0GtcnyQLMiXrdEDbLXmJ,4
0.783,0.592,11,-8.332,0,0.0331,0.435,4.15e-06,0.347,0.726,120.018,739WUU1tPFLO4x4HJq561K,4
0.787,0.573,9,-6.197,1,0.0606,0.0147,1.72e-05,0.0926,0.575,111.996,6gcuJpHu0Ey30D5WR76y98,4
0.65,0.679,1,-5.557,0,0.0477,0.286,0.0,0.136,0.256,106.059,5KfJvZ0PZzRdwFRaTUDAA7,4
0.781,0.655,2,-7.073,0,0.0457,0.114,0.00249,0.103,0.493,113.031,06Qo2fYR2KS1F7bL338iVT,4
0.752,0.65,5,-6.683,0,0.12,0.653,0.00136,0.105,0.532,134.993,02wk5BttM0QL38ERjLPQJB,4
0.507,0.394,6,-7.188,0,0.035,0.508,0.0,0.0825,0.164,77.955,7AbqgE05nFl9qY4FRUiq2p,4
0.558,0.467,10,-6.292,1,0.0809,0.611,0.0,0.105,0.563,100.518,3bNNvJA7hsGw0wSpGkfOBm,4
0.795,0.781,1,-4.647,1,0.141,0.285,0.0,0.108,0.687,104.972,7mpdNiaQvygj2rHoxkzMfa,4
0.613,0.73,10,-3.645,0,0.122,0.00875,2.25e-06,0.268,0.576,160.051,5Q1tv4GTxP3IJeGMOKdrFO,4
0.886,0.781,5,-1.837,0,0.333,0.0895,0.0,0.0715,0.672,104.996,3gTQwwDNJ42CCLo3Sf4JDd,4
0.853,0.824,1,-3.287,1,0.103,0.0322,0.0,0.0859,0.888,108.044,6xGr4tVzpTX99p9Cf0hRRL,4
0.853,0.824,1,-3.287,1,0.103,0.0322,0.0,0.0859,0.888,108.044,01qFKNWq73UfEslI0GvumE,4
0.69,0.842,10,-4.288,0,0.0739,0.0153,0.0,0.0639,0.626,141.994,0ZPjVmof45INEERgYfadtv,4
0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,2VqMBiaxblhhBHyB9X4ESl,4
0.736,0.678,5,-4.503,1,0.0464,0.0459,5.46e-06,0.104,0.757,160.045,7uyeEbG6hyApgXuEypGcsZ,4
0.84,0.673,10,-3.685,1,0.0427,0.0426,0.0,0.0971,0.911,115.004,2YmfV4lAjrAQvuggKCUX6m,4
0.776,0.831,11,-3.975,1,0.0457,0.316,0.0,0.0688,0.891,124.986,5Avril3IZ26DPVFHbJX8o6,4
0.525,0.526,5,-7.03,1,0.0534,0.634,0.127,0.103,0.562,85.274,1wUnuiXMMvhudmzvcCtlZP,3
0.786,0.83,1,-3.964,0,0.0437,0.277,0.0,0.0789,0.891,124.995,7Hcj0duTWiCSYDtJaztNIt,4
0.689,0.539,2,-7.671,0,0.048,0.178,1.45e-05,0.106,0.239,119.949,3OdIiWnYRHPYtC313Z0Bwy,4
0.815,0.834,4,-2.828,0,0.0475,0.0327,0.000268,0.27,0.692,129.989,4uOBL4DDWWVx4RhYKlPbPC,4
0.584,0.985,0,-1.652,1,0.217,0.0263,0.0,0.184,0.281,126.058,20FfCMC46eOIIrxCUdSNZT,4
0.465,0.756,8,-4.289,1,0.0508,0.0919,0.0,0.0522,0.176,173.944,5dUjBnP5zrWpWA5RGrr73g,3
0.663,0.872,11,-5.056,1,0.2,0.0153,0.0,0.0519,0.626,142.951,4QhnNyKDsAkXPwHkSnuc89,4
0.617,0.589,7,-5.978,1,0.0345,0.0268,0.0,0.378,0.566,92.991,5IAESfJjmOYu7cHyX557kz,4
0.585,0.815,0,-4.165,0,0.0565,0.115,0.0,0.124,0.564,132.09,59hBR0BCtJsfIbV9VzCVAp,4
0.896,0.88,9,-2.585,1,0.13,0.0618,0.0,0.212,0.613,110.016,2Rz7TEBsIXbI1tKsfQOCjI,4
0.531,0.747,0,-3.717,1,0.0946,0.0549,0.0,0.244,0.434,148.039,68gQG2HpRMxIRom4pCugMq,4
0.623,0.755,7,-5.386,1,0.0415,0.00306,0.0,0.387,0.32,119.957,6EY9e6LyPWmL8hUS5E1P0h,4
0.622,0.872,2,-2.767,1,0.279,0.0495,0.0,0.0841,0.635,196.102,6uVpG6300TODQGjOAtXJjh,4
0.593,0.446,0,-7.776,0,0.0266,0.283,0.0,0.119,0.168,102.057,5Hfnps0jaWFpYg55WOPexG,4
0.795,0.875,4,-4.079,0,0.0525,0.111,8.94e-05,0.107,0.375,104.008,51vRumtqbkNW9wrKfESwfu,4
0.814,0.641,6,-5.957,0,0.111,0.027,0.0,0.0993,0.183,133.854,3r8RuvgbX9s7ammBn07D3W,4
0.902,0.582,5,-5.902,0,0.109,0.111,3.18e-06,0.111,0.332,107.005,0wHFktze2PHC5jDt3B17DC,4
0.593,0.935,4,-3.43,0,0.225,0.268,0.0,0.286,0.783,99.976,0a4MMyCrzT0En247IhqZbD,4
0.811,0.648,10,-3.684,0,0.0368,0.236,0.0,0.0761,0.695,104.988,2pIUpMhHL6L9Z5lnKxJJr9,4
0.54,0.761,5,-5.356,1,0.0311,0.00446,2.5e-06,0.137,0.215,124.988,0h7QMc9ZRzA9QJrbEHytn2,4
0.599,0.446,10,-6.511,0,0.0833,0.731,0.0,0.105,0.567,179.877,5expoVGQPvXuwBBFuNGqBd,4
0.581,0.8,1,-2.613,1,0.411,0.154,0.0,0.0697,0.709,119.872,63irPUP3xB74fHdw1Aw9zR,5
0.847,0.638,0,-3.764,1,0.0575,0.0596,0.0,0.0894,0.661,156.935,2DwUdMJ5uxv20EhAildreg,4
0.68,0.922,0,-1.215,1,0.121,0.103,0.0,0.0877,0.799,125.014,2gYj9lubBorOPIVWsTXugG,4
0.724,0.818,8,-3.747,1,0.168,0.0201,0.0,0.0358,0.696,77.004,69xohKu8C1fsflYAiSNbwM,4
0.915,0.621,7,-6.519,1,0.1,0.0745,0.0,0.628,0.527,131.984,0L8LOav65XwLjCLS11gNPD,4
0.779,0.801,6,-5.564,0,0.0457,0.395,0.0,0.108,0.72,139.998,6wBpO4Xc4YgShnENGSFA1M,4
0.703,0.709,1,-4.169,0,0.0433,0.00379,5.43e-05,0.333,0.538,117.941,0Q5VnK2DYzRyfqQRJuUtvi,4
0.812,0.89,6,-2.661,0,0.209,0.0961,0.0,0.0222,0.69,100.006,3O8G8eVrhfXTGttyQ1xVuq,4
0.818,0.69,0,-5.119,1,0.0454,0.00327,0.0,0.186,0.688,110.071,7gRFDGEzF9UkBV233yv2dc,3
0.693,0.734,4,-6.189,1,0.202,0.0145,0.0,0.217,0.708,180.06,5zwwW9Oq7ubSxoCGyW1nbY,4
0.738,0.67,7,-3.766,0,0.0439,0.458,0.0,0.361,0.651,138.055,5elW2CKSoqjYoJ32AGDxf1,4
0.772,0.907,3,-2.438,0,0.124,0.136,0.0,0.334,0.783,119.973,0RDqNCRBGrSegk16Avfzuq,4
0.882,0.797,10,-3.299,0,0.0819,0.0821,0.0,0.113,0.824,105.025,4fsQ0K37TOXa3hEQfjEic1,4
0.71,0.522,11,-9.102,1,0.36,0.615,0.0,0.11,0.37,96.448,3EMp20j5E42MxfFbsEsIvD,4
0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0788,0.695,109.997,6jjYDGxVJsWS0a5wlVF5vS,4
0.795,0.859,2,-2.994,1,0.0542,0.0361,0.0,0.0321,0.356,96.986,3lOMJTQTd6J34faYwASc33,4
0.755,0.87,1,-2.414,0,0.0936,0.00988,0.0,0.0917,0.645,124.032,0IGUXY4JbK18bu9oD4mPIm,4
0.726,0.91,4,-1.948,0,0.179,0.0413,7.81e-06,0.479,0.648,135.966,6NnCWIWV740gP7DQ8kqdIE,4
0.82,0.686,0,-5.102,1,0.038,0.00412,0.0,0.184,0.668,110.058,0ARKW62l9uWIDYMZTUmJHF,3
0.765,0.777,5,-4.376,0,0.0399,0.0539,2.58e-06,0.338,0.64,111.944,6I2tqFhk8tq69iursYxuxd,4
0.654,0.768,5,-5.007,1,0.0431,0.00616,0.0,0.202,0.505,104.97,3MJhPqL2IgGs7gHEB2M35q,4
0.71,0.879,0,-4.218,1,0.0422,0.158,0.00142,0.439,0.341,114.993,1RDvyOk4WtPCtoqciJwVn8,4
0.688,0.637,2,-4.85,1,0.031,0.00777,0.0,0.13,0.427,129.902,0bYVPJvXr8ACmw313cVvhB,4
0.475,0.695,1,-5.919,1,0.102,0.0159,0.0,0.125,0.552,100.009,1HsSIPLTQT354yJcQGfEY3,4
0.557,0.798,7,-3.331,1,0.253,0.0839,0.0,0.302,0.63,131.085,5aaE27JUylnG7aPtGJPrrC,4
0.451,0.691,9,-5.395,1,0.0374,0.421,0.0,0.338,0.354,143.997,0pNFrM5L0te1EXGxveeYiR,4
0.785,0.679,0,-4.907,1,0.0379,0.516,0.0,0.417,0.616,121.121,1sZBzYhrQG40zcSuKkI93c,4
