artist_id,artist_name,track_id,track_name,release_date,track_popularity,album_image
78YqeIji3mgAS2K1Maca6x,Dylan Scott,6vsa5VDsIaWC8oJnowU65l,This Town's Been Too Good To Us,2023-06-02,78,https://i.scdn.co/image/ab67616d00001e02fc25c67a9d09ec5c5e55156d
5lpH0xAS4fVfLkACg9DAuM,Wham!,06qMRF18gwbOYYbnP2du6i,Last Christmas - Single Version,2023-07-07,86,https://i.scdn.co/image/ab67616d00001e024b68569ae3fdd6fcd0f98615
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,4vziJcnB2Qyi9o4nIRUeN7,Now And Then,2023-11-02,84,https://i.scdn.co/image/ab67616d00001e02ccf24b5f25d58914b1321357
6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,3eNOyXmzuA46bUvi8FkIoW,Mamaw's House,2023-09-28,76,https://i.scdn.co/image/ab67616d00001e029cc185678ee55c08c2a4cdf2
2FXC3k01G6Gw61bmprjgqS,Hozier,2SXx7Ofa79CeJfio98aJcG,Eat Your Young,2023-08-18,73,https://i.scdn.co/image/ab67616d00001e02a63bdfd4a6e9b3c9f4f2e91d
4sIl4BTo9l9KqEi0Y3RE72,Carly Pearce,2dPwBKr5uJeCeyd5IoWi8W,We Don't Fight Anymore,2023-06-16,74,https://i.scdn.co/image/ab67616d00001e02e665bd7ac06b0b6ecbe00cc7
2QMsj4XJ7ne2hojxt6v5eb,Riley Green,4l5w5qGInIhwfvpYmPIYdK,Different 'Round Here,2023-05-11,74,https://i.scdn.co/image/ab67616d00001e02c6a44ae5693d153d2c331546
6wxfx1yhyqjCPYwwxJktR2,King Gnu,0GWNtMohuYUEHVZ40tcnHF,SPECIALZ,2023-09-01,86,https://i.scdn.co/image/ab67616d00001e02ef96f1d50c9562c321ef207e
1p6CdzJRoicjRcSdWoB9Qc,Mitchell Tenpenny,1pmBuw9a3r467tlzVZj0P4,Bigger Mistakes,2023-07-28,70,https://i.scdn.co/image/ab67616d00001e021df8160090e8032d23980f8d
0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,3jhV8I9sIPXsjPs2ZOnSaf,But I Got A Beer In My Hand,2023-05-05,72,https://i.scdn.co/image/ab67616d00001e02641e42f516b9161e4e6c0676
2FXC3k01G6Gw61bmprjgqS,Hozier,3SRtygyWBQnoxuOPtdBPm2,De Selby (Part 2),2023-08-18,70,https://i.scdn.co/image/ab67616d00001e02a63bdfd4a6e9b3c9f4f2e91d
2FXC3k01G6Gw61bmprjgqS,Hozier,6QnfsyzifAJJrNHYTO6j9J,Francesca,2023-08-18,71,https://i.scdn.co/image/ab67616d00001e02a63bdfd4a6e9b3c9f4f2e91d
1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,19vHgVS1aukRiQWhTqfKnE,DArkSide,2023-10-18,79,https://i.scdn.co/image/ab67616d00001e0201aa13aa3a7c9f2df2db0d0f
2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,2E0bqoMlIb2xmFyZHRjtzK,Outskirts,2023-03-10,71,https://i.scdn.co/image/ab67616d00001e0269958eb9a88b8ed71fbd43ce
1nYvElumwIjMkOczb985bq,Charlie Worsham,6DYtfjCJdFOXUlV3E9a9bI,How I Learned To Pray (feat. Luke Combs),2023-08-18,70,https://i.scdn.co/image/ab67616d00001e02023d065639680ced4f0b171e
3FfvYsEGaIb52QPXhg4DcH,Jason Aldean,5BqI4ugJL5WaPRQ6MlC8Ho,Try That In A Small Town,2023-11-03,70,https://i.scdn.co/image/ab67616d00001e02d5b678a83d81a2d7691d72da
2FXC3k01G6Gw61bmprjgqS,Hozier,4LesrBswFnLcHmwDslst1q,First Time,2023-08-18,70,https://i.scdn.co/image/ab67616d00001e02a63bdfd4a6e9b3c9f4f2e91d
6y8XlgIV8BLlIg1tT1R10i,Old Dominion,3vsdSgCvepm6kroIPLa4Oz,Can't Break Up Now,2023-08-18,70,https://i.scdn.co/image/ab67616d00001e022d871ac977cd4843372f2e3d
