artist_id,artist_name,track_id,track_name,release_date,track_popularity,album_image
3CAe04TEaKSxEMemLZqw3X,Eyla Calmes,5x7KQWWwQDcqvMN0HbfjfM,Unistades,2023-03-09,69,https://i.scdn.co/image/ab67616d00001e023ee30e9f8c19c13039d22be9
1UyzP6admqk7jIIgedlD4B,Little Circuits,55YaGVtmlMuuz6KyrNBY1F,Calm World,2023-09-01,69,https://i.scdn.co/image/ab67616d00001e02564d6ece222bac14c5628d6e
27eOFbWsw1qOMgSaMqR1MM,Velpo Sonols,2LSVCsevs25vMNmAdCTVMZ,Morgennebel,2023-09-22,68,https://i.scdn.co/image/ab67616d00001e02e759a95fd9ba21fc6bd1da86
6KPAXAMmjjuL3dlucR4I29,Lugar,2n3Nzq9Mv1CUXzac82tw4M,Curved,2023-09-26,69,https://i.scdn.co/image/ab67616d00001e024ac6b513ad8b4af9f933359b
19f60nUZGFKTsf9mhvQbtl,Unwritten Skies,3exsS4AVm9MhF7iW7R0WqT,Within Reach,2023-07-27,66,https://i.scdn.co/image/ab67616d00001e025a60df2af5d9e3c8a055ff08
59UumpxzWdl3DRy6muL6Ln,Miesha Berens,6dklA8QKFaS9iYIshadCPR,Essence,2023-06-29,64,https://i.scdn.co/image/ab67616d00001e0286c3b8f7bb64b3562389fec6
6PXpkuuJT837QGtcdXSMo3,Juliana Stipe,5KzZLb3KFjGrQZW6WH8Cyc,Relieve,2023-01-12,66,https://i.scdn.co/image/ab67616d00001e02bd112c16da4f3a168f423a91
2VGcECsvRjugsMNJ2bVSsM,Sleepy Clouds,5RA07TPFsjrAR9iDR0OiHC,Cloud Gazing,2023-03-09,65,https://i.scdn.co/image/ab67616d00001e02b7b0a2654f994106cf06de73
3hw1f70k0kbqoslclzORGa,Debyah,4rE5DyWiZPeowXDEkkceeH,Apogee,2023-01-18,65,https://i.scdn.co/image/ab67616d00001e02e8cdd579d03d14c61d48e1cd
19iZvlebGTx7MIFfXSbnb6,Carufo,1DS4QEIy4juYscI1xWYnad,Pulsar,2023-06-11,66,https://i.scdn.co/image/ab67616d00001e023925015172be12515dc41926
