artist_name,artist_id,track_name,track_id,ff,track_popularity,artist_followers,artist_popularity,artist_genres
Jack Harlow,2LIk90788K0zvyj2JJVwkJ,Lovin On Me,4xhsWYTOGcal8zt0J161CU,1,94,3164524,82,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Standing Next to You,2KslE17cAJNHTsI2MI0jb2,1,97,11467146,89,['k-pop']
Jimin,1oSPZhvZMIrWW5I41kPkkY,Like Crazy,3Ua0m0YmEjrMi9XErKcNiR,1,94,6948238,81,['k-pop']
Jimin,1oSPZhvZMIrWW5I41kPkkY,Like Crazy,58BWnoFDNaeM0vwA0K3fqb,1,90,6948238,81,['k-pop']
LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,Perfect Night,74X2u8JMVooG2QbjRxXwR8,1,90,3614292,76,['k-pop girl group']
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Seven (feat. Latto) (Explicit Ver.),7x9aauaA9cu6tyfpHnqDLo,1,93,11467146,89,['k-pop']
NewJeans,6HvZYsbFfjnjFrWF950C9d,Super Shy,5sdQOyqq2IDhvmx2lHOpwd,1,90,6282247,80,"['k-pop', 'k-pop girl group']"
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,3D (feat. Jack Harlow),6ehWdR7cGDXnT7aKEASJxE,1,91,11467146,89,['k-pop']
Stray Kids,2dIgFjalVxs4ThymZ67YCE,LALALALA,1OG1NoKpZZLrMqMYCk9m84,1,87,13545818,82,"['k-pop', 'k-pop boy group', 'pop']"
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Yes or No,2gkVEnpahpE3bQuvGuCpAV,1,89,11467146,89,['k-pop']
NewJeans,6HvZYsbFfjnjFrWF950C9d,ETA,56v8WEnGzLByGsDAXDiv4d,1,85,6282247,80,"['k-pop', 'k-pop girl group']"
Jimin,1oSPZhvZMIrWW5I41kPkkY,Like Crazy (English Version),0u8rZGtXJrLtiSe34FPjGG,1,85,6948238,81,['k-pop']
NewJeans,6HvZYsbFfjnjFrWF950C9d,OMG,65FftemJ1DbbZ45DUfHJXE,1,86,6282247,80,"['k-pop', 'k-pop girl group']"
FIFTY FIFTY,4GJ6xDCF5jaUqD6avOuQT6,Cupid - Twin Ver.,7FbrGaHYVDmfr7KoLIZnQ7,1,85,1384578,69,['k-pop girl group']
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Please Don't Change (feat. DJ Snake),0k0GtcnyQLMiXrdEDbLXmJ,1,87,11467146,89,['k-pop']
JENNIE,250b0Wlc5Vk0CoUsaCY84M,You & Me,6gcuJpHu0Ey30D5WR76y98,1,82,4693759,75,['k-pop']
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Somebody,5KfJvZ0PZzRdwFRaTUDAA7,1,86,11467146,89,['k-pop']
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Closer to You (feat. Major Lazer),06Qo2fYR2KS1F7bL338iVT,1,87,11467146,89,['k-pop']
NewJeans,6HvZYsbFfjnjFrWF950C9d,New Jeans,6rdkCkjk6D12xRpdMXy0I2,1,83,6282247,80,"['k-pop', 'k-pop girl group']"
aespa,6YVMFz59CuY7ngCxTxjpxE,Drama,5XWlyfo0kZ8LF7VSyfS4Ew,1,87,4110265,75,['k-pop girl group']
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Seven (feat. Latto) (Explicit Ver.),2HRgqmZQC0MC7GeNuDIXHN,1,89,11467146,89,['k-pop']
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Shot Glass of Tears,7AbqgE05nFl9qY4FRUiq2p,1,86,11467146,89,['k-pop']
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Too Sad to Dance,3bNNvJA7hsGw0wSpGkfOBm,1,86,11467146,89,['k-pop']
NewJeans,6HvZYsbFfjnjFrWF950C9d,Cool With You,02wk5BttM0QL38ERjLPQJB,1,82,6282247,80,"['k-pop', 'k-pop girl group']"
ENHYPEN,5t5FqBwTcgKTaWmfEbwQY9,Bite Me,7mpdNiaQvygj2rHoxkzMfa,1,85,7105008,77,"['anime', 'k-pop boy group']"
FIFTY FIFTY,4GJ6xDCF5jaUqD6avOuQT6,Cupid - Twin Ver.,739WUU1tPFLO4x4HJq561K,1,83,1384578,69,['k-pop girl group']
Stray Kids,2dIgFjalVxs4ThymZ67YCE,S-Class,3gTQwwDNJ42CCLo3Sf4JDd,1,82,13545818,82,"['k-pop', 'k-pop boy group', 'pop']"
