artist_name,artist_id,track_name,track_id,track_popularity,artist_popularity,artist_genres,artist_followers
Jack Harlow,2LIk90788K0zvyj2JJVwkJ,Lovin On Me,4xhsWYTOGcal8zt0J161CU,94,82,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",3164524
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Standing Next to You,2KslE17cAJNHTsI2MI0jb2,97,89,['k-pop'],11467146
Jimin,1oSPZhvZMIrWW5I41kPkkY,Like Crazy,3Ua0m0YmEjrMi9XErKcNiR,94,81,['k-pop'],6948238
Jimin,1oSPZhvZMIrWW5I41kPkkY,Like Crazy,58BWnoFDNaeM0vwA0K3fqb,90,81,['k-pop'],6948238
LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,Perfect Night,74X2u8JMVooG2QbjRxXwR8,90,76,['k-pop girl group'],3614292
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Seven (feat. Latto) (Explicit Ver.),7x9aauaA9cu6tyfpHnqDLo,93,89,['k-pop'],11467146
NewJeans,6HvZYsbFfjnjFrWF950C9d,Super Shy,5sdQOyqq2IDhvmx2lHOpwd,90,80,"['k-pop', 'k-pop girl group']",6282247
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,3D (feat. Jack Harlow),6ehWdR7cGDXnT7aKEASJxE,91,89,['k-pop'],11467146
Stray Kids,2dIgFjalVxs4ThymZ67YCE,LALALALA,1OG1NoKpZZLrMqMYCk9m84,87,82,"['k-pop', 'k-pop boy group', 'pop']",13545818
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Yes or No,2gkVEnpahpE3bQuvGuCpAV,89,89,['k-pop'],11467146
NewJeans,6HvZYsbFfjnjFrWF950C9d,ETA,56v8WEnGzLByGsDAXDiv4d,85,80,"['k-pop', 'k-pop girl group']",6282247
Jimin,1oSPZhvZMIrWW5I41kPkkY,Like Crazy (English Version),0u8rZGtXJrLtiSe34FPjGG,85,81,['k-pop'],6948238
NewJeans,6HvZYsbFfjnjFrWF950C9d,OMG,65FftemJ1DbbZ45DUfHJXE,86,80,"['k-pop', 'k-pop girl group']",6282247
FIFTY FIFTY,4GJ6xDCF5jaUqD6avOuQT6,Cupid - Twin Ver.,7FbrGaHYVDmfr7KoLIZnQ7,85,69,['k-pop girl group'],1384578
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Please Don't Change (feat. DJ Snake),0k0GtcnyQLMiXrdEDbLXmJ,87,89,['k-pop'],11467146
JENNIE,250b0Wlc5Vk0CoUsaCY84M,You & Me,6gcuJpHu0Ey30D5WR76y98,82,75,['k-pop'],4693759
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Somebody,5KfJvZ0PZzRdwFRaTUDAA7,86,89,['k-pop'],11467146
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Closer to You (feat. Major Lazer),06Qo2fYR2KS1F7bL338iVT,87,89,['k-pop'],11467146
