artist_id,artist_name,track_id,track_name,release_date,track_popularity,album_image
11aa081aKYUzmeFm0yHdT2,S3RL,6WtHZDm7tHiFOw5Dfe26Pf,One More,2023-06-28,50,https://i.scdn.co/image/ab67616d00001e022b63524be39c33bb21569fbc
5nd7jnne7zbsV2J5jBKNOY,Gammer,0mZFBV9kO5a9DmzV16j9IA,Time Machine (with MSPUIYI),2023-11-24,58,https://i.scdn.co/image/ab67616d00001e02098ea10e44baca2419231ded
5nd7jnne7zbsV2J5jBKNOY,Gammer,33YFHaod7ULFynz6Y03Vao,Take It Down,2023-09-15,60,https://i.scdn.co/image/ab67616d00001e02624227c4bcfcbb5586b7fa49
11aa081aKYUzmeFm0yHdT2,S3RL,05JZSSSb74t7hZRPCURL5r,This Beat Has Got Me,2023-08-23,47,https://i.scdn.co/image/ab67616d00001e0203bc64ee31112959474ed2d4
11aa081aKYUzmeFm0yHdT2,S3RL,3Pi7RoELre69fmnSUaIqIR,Pretty Rave Girl - Jiyagi Remix,2023-11-22,48,https://i.scdn.co/image/ab67616d00001e0273550cd0c90fadc2bdbee26a
11aa081aKYUzmeFm0yHdT2,S3RL,6jrLjfEFODmgnZNUdxVdBP,Alien,2023-10-20,44,https://i.scdn.co/image/ab67616d00001e02607cbd2edb008ba8d13873a5
0HlxL5hisLf59ETEPM3cUA,Scooter,5VCi0XuLd9ejKOZEaV4Tvq,Techno Is Back,2023-04-14,63,https://i.scdn.co/image/ab67616d00001e020eed2b48e23536f42250f1f1
11aa081aKYUzmeFm0yHdT2,S3RL,5DRdNoPSdWzeRsjzE79iyL,Rave All Night,2023-12-06,13,https://i.scdn.co/image/ab67616d00001e02b4bec3c4d4169897ae7f9688
0HlxL5hisLf59ETEPM3cUA,Scooter,7yDqQyCeTV2xXQP7tccX2D,Hyper Hyper,2023-06-02,56,https://i.scdn.co/image/ab67616d00001e02eeb7f6a6e2782fc1b97cca9f
2FmgW6Jee0JQKtb6EnBWCq,DJ Isaac,0fnrHmbApoVm9Zt8jIwKsi,Feel So Good,2023-04-28,52,https://i.scdn.co/image/ab67616d00001e02c5d15b6b35b2495b329bbf2f
6g7nQh1zK0QGZVphaMCGWj,Tweekacore,6j7c7qxP1BXBzbF6B9uxSz,One Day Left,2023-11-16,55,https://i.scdn.co/image/ab67616d00001e02906256083bdd9f6e7af2c3fa
11aa081aKYUzmeFm0yHdT2,S3RL,75DfDhHUdm8cXvVurWljMa,Make Me Wanna,2023-01-11,41,https://i.scdn.co/image/ab67616d00001e0223d6283c99f565b4a272e267
5nd7jnne7zbsV2J5jBKNOY,Gammer,3jOlncv2CNZ6v1479wYk4z,Roots,2023-08-16,38,https://i.scdn.co/image/ab67616d00001e02b6da1a04d527d8552773a248
11aa081aKYUzmeFm0yHdT2,S3RL,1Tq3Gu4rmyytCzzvbnW5y2,Feel That Way,2023-05-24,41,https://i.scdn.co/image/ab67616d00001e02ff02bfb6fa7759eedffcd414
0HlxL5hisLf59ETEPM3cUA,Scooter,3zMa1FmLbmcSNAYgXCvybp,Waste Your Youth,2023-01-13,60,https://i.scdn.co/image/ab67616d00001e026e0ef3ab169a25f5f1355eb7
0HlxL5hisLf59ETEPM3cUA,Scooter,3c8cmDpIKg3d7EIuTjNAAp,Rave & Shout,2023-12-01,59,https://i.scdn.co/image/ab67616d00001e020cd75fce1a6bcfa95f92ed58
2gZzTzeACSwFqkMroVxmnm,Darren Styles,4ZTJg1dnfr2hkFG8LAi3sQ,Feel Love,2023-03-31,47,https://i.scdn.co/image/ab67616d00001e02247a1b287a124a8ea2d46c10
2gZzTzeACSwFqkMroVxmnm,Darren Styles,6fjluyT54G59LHW4PnVZ97,Rave Into The Night (feat. Diandra Faye),2023-11-10,48,https://i.scdn.co/image/ab67616d00001e023f75060c5d16948b15060c06
11aa081aKYUzmeFm0yHdT2,S3RL,7p9NKOvKE0cPUoLrsxWXQL,Through the Night,2023-02-22,40,https://i.scdn.co/image/ab67616d00001e0233ec09ec4b05d385cb80f7bb
2gZzTzeACSwFqkMroVxmnm,Darren Styles,0Trr3QSf9SvtFRtuAPVoBn,Wasted,2023-09-22,44,https://i.scdn.co/image/ab67616d00001e02d6a66e5b33e3c5e035e348c1
2FmgW6Jee0JQKtb6EnBWCq,DJ Isaac,6tkbPwvHVSu0zUIyxS7tKh,Feel So Good,2023-05-10,46,https://i.scdn.co/image/ab67616d00001e021f9ab03ec2758ed3dab76bb7
11aa081aKYUzmeFm0yHdT2,S3RL,1as9mAqP26ziTuD99HIHHx,Pretty Rave Girl - BOMBEI.exe Remix,2023-10-04,35,https://i.scdn.co/image/ab67616d00001e020dac81fcdb7d4a780a20bd71
45mQUJrPyctvf2IhkVE0ym,Technikore,063YSXc8E2MUCermhiW0Te,DMT,2023-10-13,44,https://i.scdn.co/image/ab67616d00001e02a0d58683c48df6a484735e84
0HlxL5hisLf59ETEPM3cUA,Scooter,64lgs61f7TyLK6SynOZXjk,Berliner Luft,2023-09-15,55,https://i.scdn.co/image/ab67616d00001e0232be7a1eed0495451df16cda
0HlxL5hisLf59ETEPM3cUA,Scooter,7pPLHY0hjwyNhY6z1bgddW,For Those About To Rave (with Timmy Trumpet) - LUNAX Remix,2023-08-04,52,https://i.scdn.co/image/ab67616d00001e0275bd2b531be67a9aaf165229
5nd7jnne7zbsV2J5jBKNOY,Gammer,45ROsQkfcNHQwFmCtskNzd,SpongeBob,2023-05-05,40,https://i.scdn.co/image/ab67616d00001e022596b38beb8f2cdb5f3edcb7
2gZzTzeACSwFqkMroVxmnm,Darren Styles,6Xt80h0WCgzRezPMBlyKLs,Sweater Weather,2023-04-21,43,https://i.scdn.co/image/ab67616d00001e02bfd75cf3b233c92657f78976
11aa081aKYUzmeFm0yHdT2,S3RL,3axU4hIcw8YvKxzZZJVe6E,Teledildonics,2023-07-26,34,https://i.scdn.co/image/ab67616d00001e021e8fe0d759b6b6f2c6022e9b
11aa081aKYUzmeFm0yHdT2,S3RL,5qfoxkel9FNFTBjxYVnePc,Space-Time - KayLife! Remix,2023-09-06,32,https://i.scdn.co/image/ab67616d00001e02ad4473f248818d8fea700fb1
123hDJRbi4KtCdBaaKNHW6,Paul Elstak,3CW9KBOZUPEcEpjGYE1xW5,My Way,2023-10-26,53,https://i.scdn.co/image/ab67616d00001e02960b1604ef8b1a0d02a5107c
11aa081aKYUzmeFm0yHdT2,S3RL,2ugdkONP9csy8UEu4mnWAK,Virtual Rave,2023-03-29,31,https://i.scdn.co/image/ab67616d00001e02a91db30b95394334a4cd4038
0HlxL5hisLf59ETEPM3cUA,Scooter,5mF8Iw9L1AolQ7xi2Z4c4H,Constellations,2023-06-23,51,https://i.scdn.co/image/ab67616d00001e0220e518e1fa2553e95a92a542
11aa081aKYUzmeFm0yHdT2,S3RL,5gL7QF5NJ9M9nv119JdhUu,Hentai - DJ Satomi & PiNKII Remix,2023-04-12,33,https://i.scdn.co/image/ab67616d00001e02b740e833cf8a7edbcf98b0e5
11aa081aKYUzmeFm0yHdT2,S3RL,2DyCiGPBYrgotArQqMthen,Bass Slut - NEKA Remix,2023-05-11,32,https://i.scdn.co/image/ab67616d00001e026ec6074d38a935077abb8193
6g7nQh1zK0QGZVphaMCGWj,Tweekacore,7jIHPF0CLlnq6GuVXmr56G,Down With The E - Tatsunoshin Remix,2023-04-04,38,https://i.scdn.co/image/ab67616d00001e02e23901410dce5fc5d5b4724d
2gZzTzeACSwFqkMroVxmnm,Darren Styles,7F49P0UZYnQWcwPqUiWBOz,Quiver - Will Atkinson Summer Of Love Remix,2023-08-18,37,https://i.scdn.co/image/ab67616d00001e02d38d4bac9757635f834b1c9f
11aa081aKYUzmeFm0yHdT2,S3RL,41FpysBqFldVUT7HH1FeSz,Pika Girl - ExaMelodica Remix,2023-08-09,30,https://i.scdn.co/image/ab67616d00001e021c70d4fea72817f97bca52dc
67es8ZtGIcV80XDLwlQkU3,Brisk,125EzhxTuGq80CqpCp6QOV,Punch the Gas - SyPhra Remix,2023-06-21,29,https://i.scdn.co/image/ab67616d00001e024ef55bc5f264b04954f79b6c
45mQUJrPyctvf2IhkVE0ym,Technikore,2JxhJ7cNsLRyZSCxqhnm77,Cruel Place,2023-11-17,33,https://i.scdn.co/image/ab67616d00001e02edea84a14ef490d8458b47a6
79PC6rrXA39xOdNTf71dvN,Hixxy,3QWDSgtt5zLTcXeQCOYHYR,More & More,2023-10-20,36,https://i.scdn.co/image/ab67616d00001e02695c70d77e9f99760fe9a42d
11aa081aKYUzmeFm0yHdT2,S3RL,4HAAArVTFj3c5UgHRP1Vor,Let Go - D4VT0R Remix,2023-04-26,28,https://i.scdn.co/image/ab67616d00001e02a3bdafacab2692455f89c0e3
11aa081aKYUzmeFm0yHdT2,S3RL,1Mz2Vm4sgKEOb7PJjNYLy2,You Are Mine - Illuszion Remix,2023-07-13,32,https://i.scdn.co/image/ab67616d00001e0209c1c312ae0f9047cd928c7a
123hDJRbi4KtCdBaaKNHW6,Paul Elstak,7mXYCi1wA8n8zBN0ud211g,Welcome To My Nightmare,2023-09-22,48,https://i.scdn.co/image/ab67616d00001e02f5459ebc319385569dce744b
11aa081aKYUzmeFm0yHdT2,S3RL,1vmq8S1PiKFOER5GrA1mLP,Tell Me What You Want - EXTEN Remix,2023-02-01,28,https://i.scdn.co/image/ab67616d00001e02d36d83b30a621c444599e862
11aa081aKYUzmeFm0yHdT2,S3RL,2MXbu7UqhGngdYZ5mb2n3a,This One Goes Out To You - Bumloco Remix,2023-03-17,29,https://i.scdn.co/image/ab67616d00001e02eab8a0c352e0d9f1dfd78f6c
1rWaCpcmmjycvD00Kf6YyE,Korsakoff,2EHSBfC2epl3BXYR2uYrFd,Choose Life,2023-05-12,45,https://i.scdn.co/image/ab67616d00001e023d3337323cb2ae7cdaca8a19
3xKGhixeP24bKwHQ7yPyXF,Joey Riot,25pWTYYJfkd81YupMQ1TzI,Let Me Hear You Roar - 2023 Edit,2023-12-01,31,https://i.scdn.co/image/ab67616d00001e02dba2ebefbfa20f3e1e31e49a
