artist_id,artist_name,artist_popularity,artist_followers
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,83,3207807
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11669885
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,6982545
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,76,3722039
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,6982545
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6441247
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11669885
2dIgFjalVxs4ThymZ67YCE,Stray Kids,82,13672084
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11669885
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11669885
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6441247
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6441247
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11669885
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,6982545
6YVMFz59CuY7ngCxTxjpxE,aespa,75,4187490
4GJ6xDCF5jaUqD6avOuQT6,FIFTY FIFTY,69,1399340
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6441247
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11669885
4GJ6xDCF5jaUqD6avOuQT6,FIFTY FIFTY,69,1399340
250b0Wlc5Vk0CoUsaCY84M,JENNIE,75,4787930
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11669885
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11669885
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6441247
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11669885
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11669885
5t5FqBwTcgKTaWmfEbwQY9,ENHYPEN,77,7200549
2dIgFjalVxs4ThymZ67YCE,Stray Kids,82,13672084
2dIgFjalVxs4ThymZ67YCE,Stray Kids,82,13672084
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11669885
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11669885
0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER,76,9184071
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11669885
6RHTUrRF63xao58xh9FXYJ,IVE,74,3267180
5t5FqBwTcgKTaWmfEbwQY9,ENHYPEN,77,7200549
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11669885
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6441247
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11669885
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,6982545
2AfmfGFbe0A0WsTYm0SDTx,(G)I-DLE,73,8040101
2dIgFjalVxs4ThymZ67YCE,Stray Kids,82,13672084
2dIgFjalVxs4ThymZ67YCE,Stray Kids,82,13672084
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,76,3722039
3Nrfpe0tUJi4K4DXYWgMUX,BTS,85,71559765
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,6982545
2dIgFjalVxs4ThymZ67YCE,Stray Kids,82,13672084
1z4g3DjTBBZKhvAroFlhOM,Red Velvet,72,8952347
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,6982545
2dIgFjalVxs4ThymZ67YCE,Stray Kids,82,13672084
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,6982545
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,76,3722039
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6441247
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,83,3207807
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6441247
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6441247
5vV3bFXnN6D6N3Nj4xRvaV,JIN,69,7239201
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6441247
2dIgFjalVxs4ThymZ67YCE,Stray Kids,82,13672084
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6441247
6RHTUrRF63xao58xh9FXYJ,IVE,74,3267180
3Nrfpe0tUJi4K4DXYWgMUX,BTS,85,71559765
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,81,47409797
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,76,3722039
6RHTUrRF63xao58xh9FXYJ,IVE,74,3267180
2dIgFjalVxs4ThymZ67YCE,Stray Kids,82,13672084
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,81,47409797
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,81,47409797
5t5FqBwTcgKTaWmfEbwQY9,ENHYPEN,77,7200549
7n2Ycct7Beij7Dj7meI4X0,TWICE,77,19436614
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,76,3722039
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,83,3207807
3Nrfpe0tUJi4K4DXYWgMUX,BTS,85,71559765
1VwDG9aBflQupaFNjUru9A,NAYEON,59,1507029
2AfmfGFbe0A0WsTYm0SDTx,(G)I-DLE,73,8040101
2AfmfGFbe0A0WsTYm0SDTx,(G)I-DLE,73,8040101
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,81,47409797
7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN,78,10695452
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,81,47409797
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11669885
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,81,47409797
0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER,76,9184071
28ot3wh4oNmoFOdVajibBl,NMIXX,64,2172648
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11669885
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,76,3722039
6UbmqUEgjLA6jAcXwbM1Z9,BIBI,64,1166800
3qNVuliS40BLgXGxhdBdqu,TAEYEON,66,2845830
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,81,47409797
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,83,3207807
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11669885
2dIgFjalVxs4ThymZ67YCE,Stray Kids,82,13672084
68KmkJeZGfwe1OUaivBa2L,ATEEZ,72,3424401
5t5FqBwTcgKTaWmfEbwQY9,ENHYPEN,77,7200549
2dIgFjalVxs4ThymZ67YCE,Stray Kids,82,13672084
5EiDVD35ofoSKq1KE0jcs8,Izzamuzzic,60,111104
2KC9Qb60EaY0kW4eH68vr3,ITZY,70,6367680
68KmkJeZGfwe1OUaivBa2L,ATEEZ,72,3424401
0UntV1Bw2hk3fbRrm9eMP6,B.I,60,748236
1gBUSTR3TyDdTVFIaQnc02,NCT DREAM,70,7419700
7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN,78,10695452
3Nrfpe0tUJi4K4DXYWgMUX,BTS,85,71559765
2dIgFjalVxs4ThymZ67YCE,Stray Kids,82,13672084
5L1lO4eRHmJ7a0Q6csE5cT,LISA,70,5795939
5t5FqBwTcgKTaWmfEbwQY9,ENHYPEN,77,7200549
5t5FqBwTcgKTaWmfEbwQY9,ENHYPEN,77,7200549
