artist_id,artist_name,artist_popularity,artist_followers
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,86,2719685
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,83,3207807
45dkTj5sMRSjrmBSBeiHym,Tate McRae,83,4226857
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,95245819
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,86,27606961
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,86,27606961
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,95245819
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,87,30626821
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,95245819
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11669885
7uMDnSZyUYNBPLhPMNuaM2,Kenya Grace,75,379132
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,86,89729896
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,87,30626821
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,95245819
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,85,42470282
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,6982545
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,86,2719685
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,85,42470282
45dkTj5sMRSjrmBSBeiHym,Tate McRae,83,4226857
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,87,30626821
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,95245819
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,87,30626821
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
3win9vGIxFfBRag9S63wwf,Bailey Zimmerman,72,798645
2yLzlEFtIS0Q9UkyBZdQA7,Jessie Murph,71,753127
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,84,30354151
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,86,2719685
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,95245819
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,95245819
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,82,22874584
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,86,2719685
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,87,30626821
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,76,3722039
0ChjBYedhZTQnWZWQYg15U,Bryan Martin,67,113336
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,78,8083180
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,88,30430245
3win9vGIxFfBRag9S63wwf,Bailey Zimmerman,72,798645
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,93,75634369
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,6982545
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,93,75634369
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,79,6647600
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6441247
78rUTD7y6Cy67W1RVzYs7t,PinkPantheress,76,2710781
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,86,27606961
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,95245819
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,86,2719685
7tYKF4w9nC0nq9CsPZTHyP,SZA,87,16225352
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
5y8tKLUfMvliMe8IKamR32,d4vd,76,2054632
7tYKF4w9nC0nq9CsPZTHyP,SZA,87,16225352
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,95245819
6KImCVD70vtIoJWnq6nGn3,Harry Styles,83,30450619
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,79,6647600
6U3ybJ9UHNKEdsH7ktGBZ7,JID,76,1445376
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,95245819
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,86,2719685
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,86,2719685
1GmsPCcpKgF9OhlNXjOsbS,Lizzy McAlpine,71,732043
3TVXtAsR1Inumwj472S9r4,Drake,95,83047557
46lEQmDJLJeyltECJYJv1Y,Wyatt Flores,63,120404
7tYKF4w9nC0nq9CsPZTHyP,SZA,87,16225352
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,80,16607437
46pWGuE3dSwY3bMMXGBvVS,Rema,77,3634351
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,95245819
164Uj4eKjl6zTBKfJLFKKK,JVKE,76,3537052
