artist_id,artist_name,artist_popularity,artist_followers
3CAe04TEaKSxEMemLZqw3X,Eyla Calmes,50,397
1UyzP6admqk7jIIgedlD4B,Little Circuits,52,1354
27eOFbWsw1qOMgSaMqR1MM,Velpo Sonols,48,159
6KPAXAMmjjuL3dlucR4I29,Lugar,48,244
19f60nUZGFKTsf9mhvQbtl,Unwritten Skies,47,162
59UumpxzWdl3DRy6muL6Ln,Miesha Berens,49,219
6PXpkuuJT837QGtcdXSMo3,Juliana Stipe,48,327
2VGcECsvRjugsMNJ2bVSsM,Sleepy Clouds,49,3438
3hw1f70k0kbqoslclzORGa,Debyah,46,158
19iZvlebGTx7MIFfXSbnb6,Carufo,51,893
6xkMXOTgxXp0H0xxv2D2vt,Oberohn,50,346
2PUPgKWq4JNwSVQE41PXrT,Light & Sound,41,618
5SPUYIgR6Gpno3V0FACiRf,Apech,44,94
0JIVfIfdmw45EoZuIWSZqa,Sleepy Sine,53,325
2JG4r9snKhqze9RGKeGEvh,Nova Issue,48,542
1IqNg7gE9Y22t5BOuBew1A,Mossdeep,45,163
5Ouz17H301vQh6K1snZRln,Juno Reed,46,218
6PXpkuuJT837QGtcdXSMo3,Juliana Stipe,48,327
19iZvlebGTx7MIFfXSbnb6,Carufo,51,893
0JIVfIfdmw45EoZuIWSZqa,Sleepy Sine,53,325
6WiU7IgtszyQMUqb4tOkdC,Mindful Changes,45,517
5Xj1fqlAVsgyiKy5K4hy1d,Tascenda,47,139
19f60nUZGFKTsf9mhvQbtl,Unwritten Skies,47,162
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
2qWUALFM2hONufmls8MkMZ,Sleep Fruits,66,552
7g56xCsozigPH5OgmwinYA,Ocean Sounds,65,33567
58PoZ2UB30eX8jppZ6B87i,Sohn Aelia,51,1657
2xxo04jMvlUrFLCdjwGgkz,Klaangen,49,308
3Jo70Smt1IRBEAGBeXnczk,Sean Altar,46,158
3N5bWM0Opalb3v1tWy6NJn,Eleonora Feldt,49,315
20rsbWn7H0xVTJZFCmJ6bc,Molecular Clouds,45,226
3bhvCKBgGPO4OURkbYkt3b,Darcie Roman,45,243
62nJsaKqTjBj5aHPE1RyqZ,Charmaine D'Avis,46,1356
1VIx3IfD02xy9yWri9U0Ac,Lucinda Pasillas,43,130
1TIIwr7wiRuFavs4zUlYQU,Boreal Embla,49,371
32QebOlHD4A8nInyCK0wvf,Calming Eyes,42,472
42o9XvYCWagpauD2sbHOPY,Nathaniel Rembrandt,43,110
5Xj1fqlAVsgyiKy5K4hy1d,Tascenda,47,139
6vlkP5Ni1u9YysGdVz16XX,Doris Melwin,42,142
4O675OCBvAxnP1vSxShYAc,La-Mu,44,451
27eOFbWsw1qOMgSaMqR1MM,Velpo Sonols,48,159
3oBTUfwSCOhxSuhdXeN1c4,Awake or Asleep,43,99
54gLxB9PQp26E1NsXCPsOb,Nathalie J,43,153
59UumpxzWdl3DRy6muL6Ln,Miesha Berens,49,219
1NGzUi7PsLrERtIIPY3Cm3,Norah Wallentin,41,107
5jP3W8hxwSZ0VsyQ3jiMbu,Le Palade,41,179
3npr0emNGSWh2iyRvzEiRI,Månvarv,45,1181
0q1jgFxjleKLegFYRiyPxS,Sleepless Eye,44,233
28GCtr7gDIxtcAeaaWwpIu,Zeb Maessen,41,89
0ONhDd13hkXTpzbP8tkBSy,Aysha Mathis,44,201
19Ezl9iEvMupXpC5XMgZBR,Marlowe Coleman,44,168
61XTODbHm8u4mMws36C1IG,Mila Harper,44,489
0JIVfIfdmw45EoZuIWSZqa,Sleepy Sine,53,325
6kqOxJqJ4r4cIlbYR4GbP4,"oh, the joy.",55,5967
6zoOpIO7PCBlRaOP10TdJc,nite sky,51,593
