artist_id,artist_name,track_id,track_name,release_date,track_popularity,album_image
59oA5WbbQvomJz2BuRG071,Jungle,19kHhX6f6EfLU7rcO3RqjO,Back On 74,2023-08-11,83,https://i.scdn.co/image/ab67616d00001e0277619f14cb03e11baf5761d1
6hnWRPzGGKiapVX1UCdEAC,Sam Cooke,7jVBSPLSbL1jKVBDMXlRCx,(What A) Wonderful World,2023-02-10,67,https://i.scdn.co/image/ab67616d00001e02fb2e910ed2c2b18cdf38850b
59oA5WbbQvomJz2BuRG071,Jungle,7j3zZ2jAjzFD60UjhldhHo,I've Been In Love,2023-08-11,75,https://i.scdn.co/image/ab67616d00001e0277619f14cb03e11baf5761d1
59oA5WbbQvomJz2BuRG071,Jungle,1Ad2HcIX9zBqoWRvxtpYGf,Candle Flame,2023-08-11,73,https://i.scdn.co/image/ab67616d00001e0277619f14cb03e11baf5761d1
4frXpPxQQZwbCu3eTGnZEw,Thundercat,62tGzw9OJOwDcjPBnMPCuj,No More Lies,2023-04-25,67,https://i.scdn.co/image/ab67616d00001e02882c536d8dcfb086bcf9733b
5FxD8fkQZ6KcsSYupDVoSO,Omar Apollo,31Wlc9ZnraX3JxrvMg9e8H,3 Boys,2023-02-17,65,https://i.scdn.co/image/ab67616d00001e02c408382e663090857acb699b
00x1fYSGhdqScXBRpSj3DW,Olivia Dean,1fXALB3kb14ngMRGNdV5wD,The Hardest Part (feat. Leon Bridges),2023-06-16,69,https://i.scdn.co/image/ab67616d00001e02a99c466f806031aaebbfa9b6
3IunaFjvNKj98JW89JYv9u,The Japanese House,1HfsmNlg8xxhOr9N2i4Q0n,Touching Yourself,2023-06-30,66,https://i.scdn.co/image/ab67616d00001e02c9281db15ef83b5f2ef5a9b7
1A9o3Ljt67pFZ89YtPPL5X,Snoh Aalegra,18QC5FsQ9FThInUrC6BScS,Be My Summer,2023-07-21,65,https://i.scdn.co/image/ab67616d00001e02dd4ad6ecdb9b4ef7167da77c
1W7FNibLa0O0b572tB2w7t,Pink Sweat$,4U3Xw68LAgaiJahg8Jtoy9,Run Through Fire,2023-05-11,66,https://i.scdn.co/image/ab67616d00001e02f04483e910c5ace2394d4cab
59oA5WbbQvomJz2BuRG071,Jungle,59rkTkputMqoxunf9IRzOc,Dominoes,2023-08-11,69,https://i.scdn.co/image/ab67616d00001e0277619f14cb03e11baf5761d1
6qgnBH6iDM91ipVXv28OMu,KAYTRANADA,5ahq8vkzMznGmfN2EVOukP,Lover/Friend,2023-11-30,66,https://i.scdn.co/image/ab67616d00001e0200540a663c95a4c2ec8a8c0c
3ycxRkcZ67ALN3GQJ57Vig,Masego,526fD9LiAEi3KKvhhYfWmm,What You Wanna Try,2023-03-03,67,https://i.scdn.co/image/ab67616d00001e02799cf48c9e6300054dac9467
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,36fdFNzAVQj03VJ0WxIkyf,Ben - Single Version,2023-12-01,2,https://i.scdn.co/image/ab67616d00001e023a36f4e112ad569f1ade27e8
1ooV8YZC1KbpEcrmI8WH0F,Yebba,2xDglkKUh1x6SDHtlv8H8J,Waterfall (I Adore You),2023-10-25,62,https://i.scdn.co/image/ab67616d00001e02485e4c55af44639eb81ec64a
5RRfTrwXUGYiBB0DMV4hyh,Adi Oasis,0FTpFi1BlqoBVELlh7jK50,Le Départ,2023-03-03,64,https://i.scdn.co/image/ab67616d00001e02aadecbe6414e30c56fa8efab
47RTTEHKmO94V6qGq5xhbn,Jason Joshua,5L5kqujbTEmL9wYq28KUAm,La Vida Es Fría,2023-03-31,57,https://i.scdn.co/image/ab67616d00001e0213396df5672a60f6f795ec01
2WoVwexZuODvclzULjPQtm,Sampha,1maIZ0gsjVbdANLvl4v0ao,Suspended,2023-10-20,64,https://i.scdn.co/image/ab67616d00001e0265fa072296480cea19a38cd0
4ETSs924pXMzjIeD6E9b4u,Surfaces,5ZDdx332AQj2n6TOW0LlZU,Baby Blue,2023-11-17,62,https://i.scdn.co/image/ab67616d00001e02b894ad3f43f4fef7fd3a6641
59oA5WbbQvomJz2BuRG071,Jungle,7snltzeGB2v44Qb6Qvh9Um,Problemz,2023-08-11,66,https://i.scdn.co/image/ab67616d00001e0277619f14cb03e11baf5761d1
5FdZDr2bMbEcnsEKRgO3rn,PHABO,57tg0m3Iu8YzWyaDfFfDtR,Step 2 Me,2023-01-20,62,https://i.scdn.co/image/ab67616d00001e0288601135236d765b16e7602a
2WoVwexZuODvclzULjPQtm,Sampha,57s2fT1A0hOxscqF2Jipd5,Spirit 2.0,2023-10-20,64,https://i.scdn.co/image/ab67616d00001e0265fa072296480cea19a38cd0
2WoVwexZuODvclzULjPQtm,Sampha,6lNyT8TfnpMTRrmJRQKQC9,Dancing Circles,2023-10-20,63,https://i.scdn.co/image/ab67616d00001e0265fa072296480cea19a38cd0
5FxD8fkQZ6KcsSYupDVoSO,Omar Apollo,0d5OZ7YYD8YXlXGitjHO0n,Live For Me,2023-10-05,61,https://i.scdn.co/image/ab67616d00001e02e5410096d1fcfecce61f27c5
00x1fYSGhdqScXBRpSj3DW,Olivia Dean,36vmaZyO0iAE6FZ7287fg2,Dive,2023-06-30,67,https://i.scdn.co/image/ab67616d00001e02cac9b52107643faf13a7587b
4ETSs924pXMzjIeD6E9b4u,Surfaces,1NQerA4L5VGpEtL9j7P7Xb,Live It Up (High Tide),2023-10-06,59,https://i.scdn.co/image/ab67616d00001e02402a7623203a39cd32eb23e0
3IunaFjvNKj98JW89JYv9u,The Japanese House,7ihVeKd4RjiZ3y12nDhPZO,Sunshine Baby,2023-06-30,61,https://i.scdn.co/image/ab67616d00001e02c9281db15ef83b5f2ef5a9b7
00x1fYSGhdqScXBRpSj3DW,Olivia Dean,3cPoiK69oQ1SdbB2j2ulGm,The Hardest Part,2023-06-30,65,https://i.scdn.co/image/ab67616d00001e02cac9b52107643faf13a7587b
6ueGR6SWhUJfvEhqkvMsVs,Janelle Monáe,2GLN3KJjmFhXG8mHGr6II0,Float (feat. Seun Kuti & Egypt 80),2023-06-09,59,https://i.scdn.co/image/ab67616d00001e0231ac0ae08eb470692364f8b3
5FxD8fkQZ6KcsSYupDVoSO,Omar Apollo,7BWN70acf9J6f37SCNNCCQ,Ice Slippin,2023-08-25,59,https://i.scdn.co/image/ab67616d00001e0242a3f2239bdb74785aeff76a
4ClziihVpBeFXNyDH83Lde,UMI,54PYCknS6lsyUXSkgnj2OM,why dont we go,2023-11-03,59,https://i.scdn.co/image/ab67616d00001e023717d3dee881e3692e8fc1ca
4ETSs924pXMzjIeD6E9b4u,Surfaces,4H3S0dQ6g8QwacSCp9W156,Cloud,2023-09-08,58,https://i.scdn.co/image/ab67616d00001e02d94d8eaa12ef33aea861c4df
2IUl3m1H1EQ7QfNbNWvgru,Vaundy,1YXot2MLAG9sttepCtBRM7,踊り子,2023-11-15,73,https://i.scdn.co/image/ab67616d00001e028d88fae79a837318aadcc056
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,58pf3fbag9rAbzXXizkHUG,Motion,2023-11-24,4,https://i.scdn.co/image/ab67616d00001e0230123710597fde8a4bf1bdda
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,5HSgpTXukR36apL2PoOuWb,Motion,2023-11-24,0,https://i.scdn.co/image/ab67616d00001e02729fd47e311c0ada795529d3
