danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,url,track_href,analysis_url,duration_ms,time_signature,uri
0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19E-06,0.0937,0.606,104.983,audio_features,4xhsWYTOGcal8zt0J161CU,,https://api.spotify.com/v1/tracks/4xhsWYTOGcal8zt0J161CU,https://api.spotify.com/v1/audio-analysis/4xhsWYTOGcal8zt0J161CU,138411,4,spotify:track:4xhsWYTOGcal8zt0J161CU
0.711,0.809,2,-4.389,0,0.0955,0.0447,0,0.339,0.816,106.017,audio_features,2KslE17cAJNHTsI2MI0jb2,,https://api.spotify.com/v1/tracks/2KslE17cAJNHTsI2MI0jb2,https://api.spotify.com/v1/audio-analysis/2KslE17cAJNHTsI2MI0jb2,206020,4,spotify:track:2KslE17cAJNHTsI2MI0jb2
0.629,0.733,7,-5.445,1,0.0419,0.0025,0,0.357,0.362,120.001,audio_features,3Ua0m0YmEjrMi9XErKcNiR,,https://api.spotify.com/v1/tracks/3Ua0m0YmEjrMi9XErKcNiR,https://api.spotify.com/v1/audio-analysis/3Ua0m0YmEjrMi9XErKcNiR,212241,4,spotify:track:3Ua0m0YmEjrMi9XErKcNiR
0.629,0.733,7,-5.445,1,0.0419,0.0025,0,0.357,0.362,120.001,audio_features,58BWnoFDNaeM0vwA0K3fqb,,https://api.spotify.com/v1/tracks/58BWnoFDNaeM0vwA0K3fqb,https://api.spotify.com/v1/audio-analysis/58BWnoFDNaeM0vwA0K3fqb,212241,4,spotify:track:58BWnoFDNaeM0vwA0K3fqb
0.697,0.82,5,-4.502,1,0.0308,0.1,0,0.0631,0.502,136.054,audio_features,74X2u8JMVooG2QbjRxXwR8,,https://api.spotify.com/v1/tracks/74X2u8JMVooG2QbjRxXwR8,https://api.spotify.com/v1/audio-analysis/74X2u8JMVooG2QbjRxXwR8,159080,4,spotify:track:74X2u8JMVooG2QbjRxXwR8
0.802,0.832,11,-4.107,1,0.0434,0.311,0,0.0815,0.89,124.997,audio_features,7x9aauaA9cu6tyfpHnqDLo,,https://api.spotify.com/v1/tracks/7x9aauaA9cu6tyfpHnqDLo,https://api.spotify.com/v1/audio-analysis/7x9aauaA9cu6tyfpHnqDLo,185427,4,spotify:track:7x9aauaA9cu6tyfpHnqDLo
0.776,0.817,5,-6.018,0,0.0748,0.18,3.44E-05,0.146,0.515,149.921,audio_features,5sdQOyqq2IDhvmx2lHOpwd,,https://api.spotify.com/v1/tracks/5sdQOyqq2IDhvmx2lHOpwd,https://api.spotify.com/v1/audio-analysis/5sdQOyqq2IDhvmx2lHOpwd,154667,4,spotify:track:5sdQOyqq2IDhvmx2lHOpwd
0.853,0.824,1,-3.287,1,0.103,0.0322,0,0.0859,0.888,108.044,audio_features,6ehWdR7cGDXnT7aKEASJxE,,https://api.spotify.com/v1/tracks/6ehWdR7cGDXnT7aKEASJxE,https://api.spotify.com/v1/audio-analysis/6ehWdR7cGDXnT7aKEASJxE,201812,4,spotify:track:6ehWdR7cGDXnT7aKEASJxE
0.705,0.849,0,-2.595,1,0.0493,0.0647,0,0.653,0.609,125.976,audio_features,1OG1NoKpZZLrMqMYCk9m84,,https://api.spotify.com/v1/tracks/1OG1NoKpZZLrMqMYCk9m84,https://api.spotify.com/v1/audio-analysis/1OG1NoKpZZLrMqMYCk9m84,182224,4,spotify:track:1OG1NoKpZZLrMqMYCk9m84
0.671,0.839,1,-2.645,1,0.0866,0.179,0,0.0748,0.882,83.845,audio_features,2gkVEnpahpE3bQuvGuCpAV,,https://api.spotify.com/v1/tracks/2gkVEnpahpE3bQuvGuCpAV,https://api.spotify.com/v1/audio-analysis/2gkVEnpahpE3bQuvGuCpAV,147557,4,spotify:track:2gkVEnpahpE3bQuvGuCpAV
