,contents,datetime,title,url
0,점 빼러 가는데 가격은 똑같이 하나에 만원 얼굴이랑 몸 다 빼고 싶은데 1. <b>강남역</b> 홈페이지에 각 관리별 가격 다 나와있음 근데 얼굴점만 가능 2. 동네<b>피부과</b> 시설자체는 둘러보러 가봤을때 깨끗해보였음...,2022-08-19T09:34:08.000+09:00,<b>강남역</b> <b>피부과</b>랑 동네 <b>피부과</b> 어디로 갈까?,http://www.instiz.net/name/50726652?page=1&category=1
1,"<b>강남역</b> <b>피부과</b>와 같은 효과를 내는 기미, 주름, 홍조 화이트닝 기계는 다음과 같습니다. * 뷰티 인모드 울쎄라 * 메디힐 LED 마스크 * 클 없는 <b>강남역</b> <b>피부과</b> 토닝 화이트닝 레이저 관리 기미잡티 지우개 피코...",2023-07-01T09:16:12.000+09:00,<b>강남역</b><b>피부과</b> 효과 기미 주름 홍조 화이트닝기계,https://codedining.com/complete/pDDDA5cOMWbWnvetXgz1wubAxeizD5nUwHo5n8TiEuN3tFpkrV7uFDjoQFSJRFdF
2,도보 6분) 이내 2호선 신분당선 <b>강남역</b>12번 출구에서 400m (도보 6분) 이내 복리후생 연금·보험 국민연금...상담) 간호조무 코디네이터 의료(병원분류별) 병원 의료(진료과별) <b>피부과</b> 서울 &gt; <b>강남</b>구 서울 &gt; 서울...,2023-03-09T00:00:00.000+09:00,"바이오미의원 채용 - [주5일 /직원충원] <b>강남역</b> <b>피부과</b> 간호조무사, 피부관리사 모십니다. | 잡코리아",https://www.jobkorea.co.kr/Recruit/GI_Read/41324003?Oem_Code=C1
3,힘들어,2023-07-20T13:49:05.000+09:00,슽붕이 <b>강남역</b> <b>피부과</b> 다님,https://gall.dcinside.com/mgallery/board/view/?id=stayc&no=329317
4,ㅁ <b>강남역</b>(2호선/신분당선) 도보 1분거리 신규개원 <b>피부과</b> 병원 청소해주실 분 구해요~ ㅁ 근무여건 - 근무시간 : 오전 11시부터 오후 4시까지 또는 오후 4시부터 오후 8시까지 - 근무형태 : 출·퇴근형 - 급여...,2022-08-20T08:51:59.000+09:00,[청소도우미(사업장) 구인] [<b>강남역</b> <b>피부과</b> 병원] 청소 이모님 모십니다.(파트 타임 가능),https://www.dandihelper.com/html/s01_v.html?idx=839821
5,그냥 알바야 알바 ㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ 어 거 뭐 <b>강남역</b>에 성형외과 <b>피부과</b> 하나 개업하면 돈을 쓸어담는데 왜 빌딩상가를 비워놔요?^^ ㅋㅋㅋㅋ,2023-09-15T11:27:33.000+09:00,부린이들은 <b>강남역</b> 공실상가 보면서 의사하면 월2천은,https://gall.dcinside.com/board/view/?id=immovables&no=6459503
6,고객 모두에게 도움을 주는 결제 솔루션 기업 와이즈케어입니다. 스마트페이AI 단말기 설치를 위해 <b>강남역</b> <b>피부과</b> 더이다의원에 다녀왔는데요. 오늘보다 내일의 아름다움을 선물하는 <b>강남</b> 더이다의원을 소개...,2022-03-03T00:00:00.000+09:00,[스마트페이 신규가맹점] <b>강남역</b> <b>피부과</b> 더이다의원 단말기 설치 후기,http://www.wisecare.co.kr/m/customer/view2.php?idx=1299
7,"지원실 &gt; 채용정보 취업지원실 안내 채용정보 취업합격자 * 한국종합교육원 취업지원실 정보제공 <b>강남역</b> <b>피부과</b> 비만클리닉 상담실장님 모십니다. 게시일 : 2022-08-09, 마감일 : 2022년 08월 20일 <b>강남</b>아이유...",2022-08-09T00:00:00.000+09:00,<b>강남역</b> <b>피부과</b> 비만클리닉 상담실장님 모십니다.,http://www.csekorea.com/m/job_board/?idx=6845&type=job&menu=&search_type=&search_text=&page=4
8,50대 검거 구독 최미송 기자 ***@*****.*** #20대 女#<b>강남역</b>#마약 투약 ***@*****.***최미송 기자 동아일보...상경해 여중생에 흉기 휘두른 10대<b>피부과</b> 시술 빙자해 투약… 마약쇼핑 창구된 병원 89곳 구독...,2023-10-05T03:00:59.000+09:00,20대 女 대낮 <b>강남역</b> 인근서 마약 투약 의심,https://www.donga.com/news/article/all/20231005/121508917/1
9,11월 02일 11144 (주)세스코 인재개발실 서비스인재개발교육강사 모집 2022-08-09 08월 23일 11143 <b>강남역</b> <b>피부과</b> 비만클리닉 상담실장님 모십니다. 2022-08-09 08월 20일 11142 효성ITX(주) 질병관리청 감염병...,2022-08-09T00:00:00.000+09:00,<b>강남역</b> <b>피부과</b> 비만클리닉 상담실장님 모십니다.,http://tsecampus.com/m/job_board/?idx=6845&type=job&menu=&search_type=&search_text=&page=
